Ref,event,url,text,type,filetype,src,created,files
598,GW230729_082317,https://gwosc.org/eventapi/html/GWTC-4.1/GW230729_082317/v2,GWTC link,open-data,,,,
599,GW230729_082317,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230729_082317-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
600,GW230729_082317,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
601,GW230728_083628,https://gwosc.org/eventapi/json/GWTC-4.1/GW230728_083628/v2,JSON file,json-url,,,,
602,GW230728_083628,https://gwosc.org/eventapi/html/GWTC-4.1/GW230728_083628/v2,GWTC link,open-data,,,,
603,GW230728_083628,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
604,GW230726_002940,https://gwosc.org/eventapi/json/GWTC-4.1/GW230726_002940/v2,JSON file,json-url,,,,
605,GW230726_002940,https://gwosc.org/eventapi/html/GWTC-4.1/GW230726_002940/v2,GWTC link,open-data,,,,
606,GW230726_002940,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
607,GW230726_002940,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
608,GW230723_101834,https://gwosc.org/eventapi/json/GWTC-4.1/GW230723_101834/v2,JSON file,json-url,,,,
609,GW230723_101834,https://gwosc.org/eventapi/html/GWTC-4.1/GW230723_101834/v2,GWTC link,open-data,,,,
610,GW230723_101834,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230723_101834-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
611,GW230723_101834,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:40.000,
612,GW230723_084820,https://gwosc.org/eventapi/json/GWTC-4.1/GW230723_084820/v2,JSON file,json-url,,,,
613,GW230723_084820,https://gwosc.org/eventapi/html/GWTC-4.1/GW230723_084820/v2,GWTC link,open-data,,,,
614,GW230723_084820,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
615,GW230721_222634,https://gwosc.org/eventapi/json/GWTC-4.1/GW230721_222634/v2,JSON file,json-url,,,,
616,GW230721_222634,https://gwosc.org/eventapi/html/GWTC-4.1/GW230721_222634/v2,GWTC link,open-data,,,,
617,GW230721_222634,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
618,GW230717_102139,https://gwosc.org/eventapi/json/GWTC-4.1/GW230717_102139/v2,JSON file,json-url,,,,
619,GW230717_102139,https://gwosc.org/eventapi/html/GWTC-4.1/GW230717_102139/v2,GWTC link,open-data,,,,
620,GW230717_102139,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
621,GW230712_090405,https://gwosc.org/eventapi/json/GWTC-4.1/GW230712_090405/v2,JSON file,json-url,,,,
622,GW230712_090405,https://gwosc.org/eventapi/html/GWTC-4.1/GW230712_090405/v2,GWTC link,open-data,,,,
623,GW230712_090405,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
624,GW230712_090405,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
625,GW230709_122727,https://gwosc.org/eventapi/json/GWTC-4.1/GW230709_122727/v2,JSON file,json-url,,,,
626,GW230709_122727,https://gwosc.org/eventapi/html/GWTC-4.1/GW230709_122727/v2,GWTC link,open-data,,,,
627,GW230709_122727,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230709_122727-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
628,GW230709_122727,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:40.000,
629,GW230709_063445,https://gwosc.org/eventapi/json/GWTC-4.1/GW230709_063445/v2,JSON file,json-url,,,,
630,GW230709_063445,https://gwosc.org/eventapi/html/GWTC-4.1/GW230709_063445/v2,GWTC link,open-data,,,,
631,GW230709_063445,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
632,GW230708_230935,https://gwosc.org/eventapi/json/GWTC-4.1/GW230708_230935/v2,JSON file,json-url,,,,
633,GW230708_230935,https://gwosc.org/eventapi/html/GWTC-4.1/GW230708_230935/v2,GWTC link,open-data,,,,
634,GW230708_230935,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230708_230935-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
635,GW230708_230935,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
636,GW230708_071859,https://gwosc.org/eventapi/json/GWTC-4.1/GW230708_071859/v2,JSON file,json-url,,,,
637,GW230708_071859,https://gwosc.org/eventapi/html/GWTC-4.1/GW230708_071859/v2,GWTC link,open-data,,,,
638,GW230708_071859,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
639,GW230708_053705,https://gwosc.org/eventapi/json/GWTC-4.1/GW230708_053705/v2,JSON file,json-url,,,,
640,GW230708_053705,https://gwosc.org/eventapi/html/GWTC-4.1/GW230708_053705/v2,GWTC link,open-data,,,,
641,GW230708_053705,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230708_053705-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
642,GW230708_053705,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
643,GW230707_124047,https://gwosc.org/eventapi/json/GWTC-4.1/GW230707_124047/v2,JSON file,json-url,,,,
644,GW230707_124047,https://gwosc.org/eventapi/html/GWTC-4.1/GW230707_124047/v2,GWTC link,open-data,,,,
645,GW230707_124047,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230707_124047-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
646,GW230707_124047,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
647,GW230706_104333,https://gwosc.org/eventapi/json/GWTC-4.1/GW230706_104333/v2,JSON file,json-url,,,,
648,GW230706_104333,https://gwosc.org/eventapi/html/GWTC-4.1/GW230706_104333/v2,GWTC link,open-data,,,,
649,GW230706_104333,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
650,GW230706_104333,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
651,GW230704_212616,https://gwosc.org/eventapi/json/GWTC-4.1/GW230704_212616/v2,JSON file,json-url,,,,
652,GW230704_212616,https://gwosc.org/eventapi/html/GWTC-4.1/GW230704_212616/v2,GWTC link,open-data,,,,
653,GW230704_212616,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
654,GW230704_212616,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
655,GW230704_021211,https://gwosc.org/eventapi/json/GWTC-4.1/GW230704_021211/v2,JSON file,json-url,,,,
656,GW230704_021211,https://gwosc.org/eventapi/html/GWTC-4.1/GW230704_021211/v2,GWTC link,open-data,,,,
657,GW230704_021211,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230704_021211-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
658,GW230704_021211,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
659,GW230702_185453,https://gwosc.org/eventapi/json/GWTC-4.1/GW230702_185453/v2,JSON file,json-url,,,,
660,GW230702_185453,https://gwosc.org/eventapi/html/GWTC-4.1/GW230702_185453/v2,GWTC link,open-data,,,,
661,GW230702_185453,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230702_185453-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
662,GW230702_185453,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
663,GW230702_162025,https://gwosc.org/eventapi/json/GWTC-4.1/GW230702_162025/v2,JSON file,json-url,,,,
664,GW230702_162025,https://gwosc.org/eventapi/html/GWTC-4.1/GW230702_162025/v2,GWTC link,open-data,,,,
665,GW230702_162025,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
666,GW230630_234532,https://gwosc.org/eventapi/json/GWTC-4.1/GW230630_234532/v2,JSON file,json-url,,,,
667,GW230630_234532,https://gwosc.org/eventapi/html/GWTC-4.1/GW230630_234532/v2,GWTC link,open-data,,,,
668,GW230630_234532,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
669,GW230630_234532,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
670,GW230630_125806,https://gwosc.org/eventapi/json/GWTC-4.1/GW230630_125806/v2,JSON file,json-url,,,,
671,GW230630_125806,https://gwosc.org/eventapi/html/GWTC-4.1/GW230630_125806/v2,GWTC link,open-data,,,,
672,GW230630_125806,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230630_125806-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
673,GW230630_125806,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
674,GW230630_070659,https://gwosc.org/eventapi/json/GWTC-4.1/GW230630_070659/v2,JSON file,json-url,,,,
675,GW230630_070659,https://gwosc.org/eventapi/html/GWTC-4.1/GW230630_070659/v2,GWTC link,open-data,,,,
676,GW230630_070659,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
677,GW230628_231200,https://gwosc.org/eventapi/json/GWTC-4.1/GW230628_231200/v2,JSON file,json-url,,,,
678,GW230628_231200,https://gwosc.org/eventapi/html/GWTC-4.1/GW230628_231200/v2,GWTC link,open-data,,,,
679,GW230628_231200,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230628_231200-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
680,GW230628_231200,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
681,GW230627_015337,https://gwosc.org/eventapi/json/GWTC-4.1/GW230627_015337/v2,JSON file,json-url,,,,
682,GW230627_015337,https://gwosc.org/eventapi/html/GWTC-4.1/GW230627_015337/v2,GWTC link,open-data,,,,
683,GW230627_015337,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
684,GW230627_015337,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
685,GW230625_211655,https://gwosc.org/eventapi/json/GWTC-4.1/GW230625_211655/v2,JSON file,json-url,,,,
686,GW230625_211655,https://gwosc.org/eventapi/html/GWTC-4.1/GW230625_211655/v2,GWTC link,open-data,,,,
687,GW230625_211655,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
688,GW230624_214944,https://gwosc.org/eventapi/json/GWTC-4.1/GW230624_214944/v2,JSON file,json-url,,,,
689,GW230624_214944,https://gwosc.org/eventapi/html/GWTC-4.1/GW230624_214944/v2,GWTC link,open-data,,,,
690,GW230624_214944,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
691,GW230624_113103,https://gwosc.org/eventapi/json/GWTC-4.1/GW230624_113103/v2,JSON file,json-url,,,,
692,GW230624_113103,https://gwosc.org/eventapi/html/GWTC-4.1/GW230624_113103/v2,GWTC link,open-data,,,,
693,GW230624_113103,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
694,GW230624_113103,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
695,GW230618_102550,https://gwosc.org/eventapi/json/GWTC-4.1/GW230618_102550/v2,JSON file,json-url,,,,
696,GW230618_102550,https://gwosc.org/eventapi/html/GWTC-4.1/GW230618_102550/v2,GWTC link,open-data,,,,
697,GW230618_102550,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
698,GW230615_160825,https://gwosc.org/eventapi/json/GWTC-4.1/GW230615_160825/v2,JSON file,json-url,,,,
699,GW230615_160825,https://gwosc.org/eventapi/html/GWTC-4.1/GW230615_160825/v2,GWTC link,open-data,,,,
700,GW230615_160825,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
701,GW230610_061439,https://gwosc.org/eventapi/json/GWTC-4.1/GW230610_061439/v1,JSON file,json-url,,,,
702,GW230610_061439,https://gwosc.org/eventapi/html/GWTC-4.1/GW230610_061439/v1,GWTC link,open-data,,,,
703,GW230610_061439,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
704,GW230609_064958,https://gwosc.org/eventapi/json/GWTC-4.1/GW230609_064958/v2,JSON file,json-url,,,,
705,GW230609_064958,https://gwosc.org/eventapi/html/GWTC-4.1/GW230609_064958/v2,GWTC link,open-data,,,,
706,GW230609_064958,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230609_064958-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
707,GW230609_064958,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
708,GW230609_010824,https://gwosc.org/eventapi/json/GWTC-4.1/GW230609_010824/v2,JSON file,json-url,,,,
709,GW230609_010824,https://gwosc.org/eventapi/html/GWTC-4.1/GW230609_010824/v2,GWTC link,open-data,,,,
710,GW230609_010824,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
711,GW230608_205047,https://gwosc.org/eventapi/json/GWTC-4.1/GW230608_205047/v2,JSON file,json-url,,,,
712,GW230608_205047,https://gwosc.org/eventapi/html/GWTC-4.1/GW230608_205047/v2,GWTC link,open-data,,,,
713,GW230608_205047,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230608_205047-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
714,GW230608_205047,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
715,GW230606_065320,https://gwosc.org/eventapi/json/GWTC-4.1/GW230606_065320/v1,JSON file,json-url,,,,
716,GW230606_065320,https://gwosc.org/eventapi/html/GWTC-4.1/GW230606_065320/v1,GWTC link,open-data,,,,
717,GW230606_065320,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
718,GW230606_024545,https://gwosc.org/eventapi/json/GWTC-4.1/GW230606_024545/v2,JSON file,json-url,,,,
719,GW230606_024545,https://gwosc.org/eventapi/html/GWTC-4.1/GW230606_024545/v2,GWTC link,open-data,,,,
720,GW230606_024545,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
721,GW230606_004305,https://gwosc.org/eventapi/json/GWTC-4.1/GW230606_004305/v2,JSON file,json-url,,,,
722,GW230606_004305,https://gwosc.org/eventapi/html/GWTC-4.1/GW230606_004305/v2,GWTC link,open-data,,,,
723,GW230606_004305,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230606_004305-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
724,GW230606_004305,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:41.000,
725,GW230605_065343,https://gwosc.org/eventapi/json/GWTC-4.1/GW230605_065343/v2,JSON file,json-url,,,,
726,GW230605_065343,https://gwosc.org/eventapi/html/GWTC-4.1/GW230605_065343/v2,GWTC link,open-data,,,,
727,GW230605_065343,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
728,GW230605_065343,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
729,GW230603_174756,https://gwosc.org/eventapi/json/GWTC-4.1/GW230603_174756/v2,JSON file,json-url,,,,
730,GW230603_174756,https://gwosc.org/eventapi/html/GWTC-4.1/GW230603_174756/v2,GWTC link,open-data,,,,
731,GW230603_174756,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
732,GW230601_224134,https://gwosc.org/eventapi/json/GWTC-4.1/GW230601_224134/v2,JSON file,json-url,,,,
733,GW230601_224134,https://gwosc.org/eventapi/html/GWTC-4.1/GW230601_224134/v2,GWTC link,open-data,,,,
734,GW230601_224134,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230601_224134-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
735,GW230601_224134,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:42.000,
736,GW230531_141100,https://gwosc.org/eventapi/json/GWTC-4.1/GW230531_141100/v2,JSON file,json-url,,,,
737,GW230531_141100,https://gwosc.org/eventapi/html/GWTC-4.1/GW230531_141100/v2,GWTC link,open-data,,,,
738,GW230531_141100,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
739,GW230529_181500,https://gwosc.org/eventapi/json/GWTC-4.1/GW230529_181500/v3,JSON file,json-url,,,,
740,GW230529_181500,https://gwosc.org/eventapi/html/GWTC-4.1/GW230529_181500/v3,GWTC link,open-data,,,,
741,GW230529_181500,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230529_181500-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
742,GW230529_181500,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:40.000,
743,GW230528_145129,https://gwosc.org/eventapi/json/GWTC-4.1/GW230528_145129/v1,JSON file,json-url,,,,
744,GW230528_145129,https://gwosc.org/eventapi/html/GWTC-4.1/GW230528_145129/v1,GWTC link,open-data,,,,
745,GW230528_145129,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
746,GW230518_125908,https://gwosc.org/eventapi/json/GWTC-4.1/GW230518_125908/v2,JSON file,json-url,,,,
747,GW230518_125908,https://gwosc.org/eventapi/html/GWTC-4.1/GW230518_125908/v2,GWTC link,open-data,,,,
748,GW230518_125908,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
749,GW230518_125908,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-18T20:00:40.000,
750,GW230517_044807,https://gwosc.org/eventapi/json/GWTC-4.1/GW230517_044807/v1,JSON file,json-url,,,,
751,GW230517_044807,https://gwosc.org/eventapi/html/GWTC-4.1/GW230517_044807/v1,GWTC link,open-data,,,,
752,GW230517_044807,https://zenodo.org/record/20275769/files/IGWN-GWTC4p1-18965dda8_5-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
753,GW250120_042414,https://gwosc.org/eventapi/json/GWTC-5.0/GW250120_042414/v1,JSON file,json-url,,,,
754,GW250120_042414,https://gwosc.org/eventapi/html/GWTC-5.0/GW250120_042414/v1,GWTC link,open-data,,,,
755,GW250120_042414,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
756,GW250119_190238,https://gwosc.org/eventapi/json/GWTC-5.0/GW250119_190238/v1,JSON file,json-url,,,,
757,GW250119_190238,https://gwosc.org/eventapi/html/GWTC-5.0/GW250119_190238/v1,GWTC link,open-data,,,,
758,GW250119_190238,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250119_190238-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
759,GW250119_190238,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
760,GW250119_025138,https://gwosc.org/eventapi/json/GWTC-5.0/GW250119_025138/v1,JSON file,json-url,,,,
761,GW250119_025138,https://gwosc.org/eventapi/html/GWTC-5.0/GW250119_025138/v1,GWTC link,open-data,,,,
762,GW250119_025138,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250119_025138-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
763,GW250119_025138,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
764,GW250118_170523,https://gwosc.org/eventapi/json/GWTC-5.0/GW250118_170523/v1,JSON file,json-url,,,,
765,GW250118_170523,https://gwosc.org/eventapi/html/GWTC-5.0/GW250118_170523/v1,GWTC link,open-data,,,,
766,GW250118_170523,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250118_170523-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
767,GW250118_170523,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
768,GW250118_055802,https://gwosc.org/eventapi/json/GWTC-5.0/GW250118_055802/v1,JSON file,json-url,,,,
769,GW250118_055802,https://gwosc.org/eventapi/html/GWTC-5.0/GW250118_055802/v1,GWTC link,open-data,,,,
770,GW250118_055802,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250118_055802-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
771,GW250118_055802,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
772,GW250118_023225,https://gwosc.org/eventapi/json/GWTC-5.0/GW250118_023225/v1,JSON file,json-url,,,,
773,GW250118_023225,https://gwosc.org/eventapi/html/GWTC-5.0/GW250118_023225/v1,GWTC link,open-data,,,,
774,GW250118_023225,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250118_023225-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
775,GW250118_023225,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
776,GW250116_051426,https://gwosc.org/eventapi/json/GWTC-5.0/GW250116_051426/v1,JSON file,json-url,,,,
777,GW250116_051426,https://gwosc.org/eventapi/html/GWTC-5.0/GW250116_051426/v1,GWTC link,open-data,,,,
778,GW250116_051426,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
779,GW250116_015318,https://gwosc.org/eventapi/json/GWTC-5.0/GW250116_015318/v1,JSON file,json-url,,,,
780,GW250116_015318,https://gwosc.org/eventapi/html/GWTC-5.0/GW250116_015318/v1,GWTC link,open-data,,,,
781,GW250116_015318,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250116_015318-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
782,GW250116_015318,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
783,GW250114_082203,https://gwosc.org/eventapi/json/GWTC-5.0/GW250114_082203/v2,JSON file,json-url,,,,
784,GW250114_082203,https://gwosc.org/eventapi/html/GWTC-5.0/GW250114_082203/v2,GWTC link,open-data,,,,
785,GW250114_082203,https://zenodo.org/api/records/20348006/files/IGWN-GWTC5p0-29ebe06b7_25-GW250114_082203-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
786,GW250114_082203,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
