Ref,event,url,text,type,filetype,src,created,files
31,GW200306_093714,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:45.000,
32,GW200306_093714,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.511,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
33,GW200306_093714,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.512,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
34,GW200306_093714,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.516,"['gal_8192', 'eq_8192', 'eq_4096']"
35,GW200302_015811,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,JSON file,json-url,,,,
36,GW200302_015811,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200302_015811/v1,GWTC link,open-data,,,,
37,GW200302_015811,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
38,GW200302_015811,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:41.000,
39,GW200302_015811,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.527,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
40,GW200302_015811,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.527,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
41,GW200302_015811,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.531,"['gal_8192', 'eq_8192', 'eq_4096']"
42,GW200225_060421,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,JSON file,json-url,,,,
43,GW200225_060421,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200225_060421/v1,GWTC link,open-data,,,,
44,GW200225_060421,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
45,GW200225_060421,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:39.000,
46,GW200225_060421,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.542,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
47,GW200225_060421,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.542,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
48,GW200225_060421,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.546,"['gal_8192', 'eq_8192', 'eq_4096']"
49,GW200224_222234,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,JSON file,json-url,,,,
50,GW200224_222234,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200224_222234/v1,GWTC link,open-data,,,,
51,GW200224_222234,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
52,GW200224_222234,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:35.000,
53,GW200224_222234,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.558,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
54,GW200224_222234,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.558,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
55,GW200224_222234,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.562,"['gal_8192', 'eq_8192', 'eq_4096']"
56,GW200220_124850,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,JSON file,json-url,,,,
57,GW200220_124850,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200220_124850/v1,GWTC link,open-data,,,,
58,GW200220_124850,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
59,GW200220_124850,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:32.000,
60,GW200220_124850,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.573,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
61,GW200220_124850,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.573,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
62,GW200220_124850,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.578,"['gal_8192', 'eq_8192', 'eq_4096']"
63,GW200220_061928,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,JSON file,json-url,,,,
64,GW200220_061928,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200220_061928/v1,GWTC link,open-data,,,,
65,GW200220_061928,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
