Ref,citation,created,event,text,type,url
26,,2019-06-02T05:38:14.371,GW151012,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cartzoom.thumb.png
27,,2019-06-02T05:38:19.354,GW151012,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart.thumb.png
28,,2019-06-02T05:38:10.057,GW151012,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll.thumb.png
29,,2019-06-02T05:38:30.841,GW151012,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart_rot.png
30,,2019-06-02T05:38:30.841,GW151012,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart_rot.thumb.png
31,,2019-06-02T05:38:25.678,GW151012,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll_rot.png
32,,2019-06-02T05:38:25.678,GW151012,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll_rot.thumb.png
33,,2019-06-02T22:36:31.482,GW151012,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151012_8192.png
34,,2018-11-08T18:36:07.470,GW151012,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151012-tiles
35,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW151226,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
36,,,GW151226,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW151226/
37,,,GW151226,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G211117
38,,,GW151226,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G211182
39,,,GW151226,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW151226_skymap.fits.gz
40,,,GW151226,Skymap Viewer,web-data,https://losc.ligo.org/s/skymapViewer/aladin/index.html#GW151226:LALI2
41,,2019-06-02T05:38:41.370,GW151226,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cartzoom.png
42,,2019-06-02T05:38:46.228,GW151226,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cart.png
43,,2019-06-02T05:38:37.492,GW151226,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_moll.png
44,,2019-06-02T05:38:41.370,GW151226,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cartzoom.thumb.png
45,,2019-06-02T05:38:46.229,GW151226,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cart.thumb.png
46,,2019-06-02T05:38:37.493,GW151226,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_moll.thumb.png
47,,2019-06-02T05:38:57.920,GW151226,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cart_rot.png
48,,2019-06-02T05:38:57.921,GW151226,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cart_rot.thumb.png
49,,2019-06-02T05:38:52.876,GW151226,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_moll_rot.png
50,,2019-06-02T05:38:52.876,GW151226,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_moll_rot.thumb.png
51,,2019-06-02T22:36:47.266,GW151226,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151226_8192.png
52,,2018-10-22T21:04:24.299,GW151226,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151226-tiles
53,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170104,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
54,,,GW170104,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170104/
55,,,GW170104,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G268556
56,,,GW170104,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170104_skymap.fits.gz
57,,,GW170104,Skymap Viewer,web-data,https://losc.ligo.org/s/events/skymapViewer/aladin/index.html#GW170104:LALI
58,,2019-06-02T05:39:09.959,GW170104,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cartzoom.png
59,,2019-06-02T05:39:15.255,GW170104,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cart.png
60,,2019-06-02T05:39:04.701,GW170104,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_moll.png
61,,2019-06-02T05:39:09.959,GW170104,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cartzoom.thumb.png
62,,2019-06-02T05:39:15.256,GW170104,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cart.thumb.png
63,,2019-06-02T05:39:04.702,GW170104,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_moll.thumb.png
64,,2019-06-02T05:39:26.499,GW170104,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cart_rot.png
65,,2019-06-02T05:39:26.500,GW170104,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_cart_rot.thumb.png
66,,2019-06-02T05:39:21.257,GW170104,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_moll_rot.png
67,,2019-06-02T05:39:21.257,GW170104,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170104_moll_rot.thumb.png
68,,2019-06-02T22:37:06.485,GW170104,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170104_8192.png
69,,2018-10-25T03:23:49.113,GW170104,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170104-tiles
70,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170608,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
71,,,GW170608,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170608/
72,,,GW170608,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170608_skymap.fits.gz
73,,2019-06-02T05:39:38.575,GW170608,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cartzoom.png
74,,2019-06-02T05:39:43.610,GW170608,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cart.png
75,,2019-06-02T05:39:34.664,GW170608,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_moll.png
76,,2019-06-02T05:39:38.576,GW170608,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cartzoom.thumb.png
77,,2019-06-02T05:39:43.610,GW170608,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cart.thumb.png
78,,2019-06-02T05:39:34.665,GW170608,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_moll.thumb.png
79,,2019-06-02T05:39:54.632,GW170608,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cart_rot.png
80,,2019-06-02T05:39:54.632,GW170608,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_cart_rot.thumb.png
81,,2019-06-02T05:39:49.516,GW170608,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_moll_rot.png
82,,2019-06-02T05:39:49.517,GW170608,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170608_moll_rot.thumb.png
83,,2019-06-02T22:37:24.686,GW170608,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170608_8192.png
84,,2018-12-07T20:48:08.884,GW170608,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170608-tiles
85,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170729,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
86,,,GW170729,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170729/
87,,,GW170729,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170729_skymap.fits.gz
88,,2019-06-02T05:40:12.149,GW170729,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cartzoom.png
89,,2019-06-02T05:40:18.122,GW170729,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cart.png
90,,2019-06-02T05:40:07.219,GW170729,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_moll.png
91,,2019-06-02T05:40:12.150,GW170729,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cartzoom.thumb.png
92,,2019-06-02T05:40:18.123,GW170729,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cart.thumb.png
93,,2019-06-02T05:40:07.220,GW170729,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_moll.thumb.png
94,,2019-06-02T05:40:30.883,GW170729,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cart_rot.png
95,,2019-06-02T05:40:30.884,GW170729,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_cart_rot.thumb.png
96,,2019-06-02T05:40:24.896,GW170729,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_moll_rot.png
97,,2019-06-02T05:40:24.897,GW170729,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170729_moll_rot.thumb.png
98,,2019-06-02T22:37:44.195,GW170729,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170729_8192.png
99,,2018-11-15T15:17:20.955,GW170729,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170729-tiles
100,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170809,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
101,,,GW170809,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170809/
102,,,GW170809,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170809_skymap.fits.gz
103,,2019-06-02T05:40:41.786,GW170809,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cartzoom.png
104,,2019-06-02T05:40:49.043,GW170809,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cart.png
105,,2019-06-02T05:40:37.977,GW170809,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_moll.png
106,,2019-06-02T05:40:41.786,GW170809,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cartzoom.thumb.png
107,,2019-06-02T05:40:49.044,GW170809,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cart.thumb.png
108,,2019-06-02T05:40:37.977,GW170809,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_moll.thumb.png
109,,2019-06-02T05:41:00.044,GW170809,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cart_rot.png
110,,2019-06-02T05:41:00.045,GW170809,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_cart_rot.thumb.png
111,,2019-06-02T05:40:54.904,GW170809,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_moll_rot.png
112,,2019-06-02T05:40:54.905,GW170809,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170809_moll_rot.thumb.png
113,,2019-06-02T22:37:59.628,GW170809,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170809_8192.png
114,,2018-12-07T16:23:50.999,GW170809,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170809-tiles
115,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170814,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
116,,,GW170814,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170814/
117,,,GW170814,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170814_skymap.fits.gz
118,,2019-06-02T05:41:14.537,GW170814,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cartzoom.png
119,,2019-06-02T05:41:20.001,GW170814,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cart.png
120,,2019-06-02T05:41:10.318,GW170814,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_moll.png
121,,2019-06-02T05:41:14.537,GW170814,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cartzoom.thumb.png
122,,2019-06-02T05:41:20.002,GW170814,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cart.thumb.png
123,,2019-06-02T05:41:10.318,GW170814,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_moll.thumb.png
124,,2019-06-02T05:41:31.871,GW170814,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cart_rot.png
125,,2019-06-02T05:41:31.871,GW170814,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_cart_rot.thumb.png
126,,2019-06-02T05:41:26.344,GW170814,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_moll_rot.png
127,,2019-06-02T05:41:26.345,GW170814,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170814_moll_rot.thumb.png
128,,2019-06-02T22:38:18.250,GW170814,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170814_8192.png
129,,2018-11-06T08:40:13.849,GW170814,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170814-tiles
130,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170817,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
131,,,GW170817,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170817/
132,,,GW170817,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170817_skymap.fits.gz
133,,2019-06-02T05:41:49.013,GW170817,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cartzoom.png
134,,2019-06-02T05:41:54.314,GW170817,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cart.png
135,,2019-06-02T05:41:44.894,GW170817,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_moll.png
136,,2019-06-02T05:41:49.013,GW170817,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cartzoom.thumb.png
137,,2019-06-02T05:41:54.314,GW170817,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cart.thumb.png
138,,2019-06-02T05:41:44.895,GW170817,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_moll.thumb.png
139,,2019-06-02T05:42:06.100,GW170817,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cart_rot.png
140,,2019-06-02T05:42:06.100,GW170817,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_cart_rot.thumb.png
141,,2019-06-02T05:42:00.632,GW170817,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_moll_rot.png
142,,2019-06-02T05:42:00.633,GW170817,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170817_moll_rot.thumb.png
143,,2019-06-02T22:38:36.794,GW170817,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170817_8192.png
144,,2018-10-29T01:31:27.956,GW170817,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170817-tiles
145,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170818,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
146,,,GW170818,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170818/
147,,,GW170818,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170818_skymap.fits.gz
148,,2019-06-02T05:42:20.744,GW170818,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cartzoom.png
149,,2019-06-02T05:42:26.245,GW170818,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cart.png
150,,2019-06-02T05:42:16.352,GW170818,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_moll.png
151,,2019-06-02T05:42:20.744,GW170818,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cartzoom.thumb.png
152,,2019-06-02T05:42:26.245,GW170818,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cart.thumb.png
153,,2019-06-02T05:42:16.352,GW170818,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_moll.thumb.png
154,,2019-06-02T05:42:38.395,GW170818,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cart_rot.png
155,,2019-06-02T05:42:38.395,GW170818,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_cart_rot.thumb.png
156,,2019-06-02T05:42:32.719,GW170818,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_moll_rot.png
157,,2019-06-02T05:42:32.719,GW170818,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170818_moll_rot.thumb.png
158,,2019-06-02T22:38:55.469,GW170818,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170818_8192.png
159,,2018-12-07T05:21:12.820,GW170818,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170818-tiles
160,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW170823,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
161,,,GW170823,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW170823/
162,,,GW170823,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW170823_skymap.fits.gz
163,,2019-06-02T05:42:51.780,GW170823,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cartzoom.png
164,,2019-06-02T05:42:56.701,GW170823,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cart.png
165,,2019-06-02T05:42:47.835,GW170823,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_moll.png
166,,2019-06-02T05:42:51.780,GW170823,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cartzoom.thumb.png
167,,2019-06-02T05:42:56.701,GW170823,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cart.thumb.png
168,,2019-06-02T05:42:47.836,GW170823,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_moll.thumb.png
169,,2019-06-02T05:43:07.530,GW170823,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cart_rot.png
170,,2019-06-02T05:43:07.530,GW170823,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_cart_rot.thumb.png
171,,2019-06-02T05:43:02.493,GW170823,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_moll_rot.png
172,,2019-06-02T05:43:02.494,GW170823,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW170823_moll_rot.thumb.png
173,,2019-06-02T22:39:10.242,GW170823,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170823_8192.png
174,,2018-12-07T23:50:48.096,GW170823,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW170823-tiles
175,,,S190513bm,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190513bm/
176,,,S190513bm,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190513bm/files/bayestar.fits.gz
177,,2019-06-02T05:47:52.273,S190513bm,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cartzoom.png
178,,2019-06-02T05:47:58.494,S190513bm,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cart.png
179,,2019-06-02T05:47:46.955,S190513bm,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_moll.png
180,,2019-06-02T05:47:52.273,S190513bm,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cartzoom.thumb.png
181,,2019-06-02T05:47:58.494,S190513bm,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cart.thumb.png
182,,2019-06-02T05:47:46.955,S190513bm,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_moll.thumb.png
183,,,S190513bm,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190513bm/
184,,2019-06-02T05:48:19.270,S190513bm,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cart_rot.png
185,,2019-06-02T05:48:19.271,S190513bm,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_cart_rot.thumb.png
186,,2019-06-02T05:48:12.896,S190513bm,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_moll_rot.png
187,,2019-06-02T05:48:12.896,S190513bm,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190513bm_moll_rot.thumb.png
188,,2019-06-02T22:41:44.958,S190513bm,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190513bm_8192.png
189,,2019-05-13T21:01:39.000,S190513bm,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190513bm-tiles
190,,,S190512at,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190512at/
191,,,S190512at,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190512at/files/LALInference.fits.gz
192,,2019-06-02T05:47:16.978,S190512at,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_cartzoom.png
193,,2019-06-02T05:47:22.886,S190512at,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_cart.png
194,,2019-06-02T05:47:12.198,S190512at,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_moll.png
195,,2019-06-02T05:47:16.979,S190512at,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_cartzoom.thumb.png
196,,2019-06-02T05:47:22.887,S190512at,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_cart.thumb.png
197,,2019-06-02T05:47:12.199,S190512at,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190512at_moll.thumb.png
198,,,S190512at,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190512at/
