Ref,citation,created,event,text,type,url
525,,2019-09-21T20:25:30.628,S190828l,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828l_moll_rot.png
526,,2019-09-21T20:25:30.628,S190828l,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828l_moll_rot.thumb.png
527,,2019-09-21T20:25:36.993,S190828l,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828l_cart_rot.png
528,,2019-09-21T20:25:36.993,S190828l,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828l_cart_rot.thumb.png
529,,2019-09-21T20:25:53.975,S190828l,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190828l_8192.png
530,,2019-09-21T20:34:06.175,S190828l,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190828l-tiles
531,,,S190828l,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190828l/
532,,,S190828j,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190828j/
533,,,S190828j,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190828j/files/bayestar.fits.gz
534,,2019-08-28T09:38:53.986,S190828j,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_moll.png
535,,2019-08-28T09:38:53.986,S190828j,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_moll.thumb.png
536,,2019-08-28T09:38:59.911,S190828j,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cartzoom.png
537,,2019-08-28T09:38:59.912,S190828j,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cartzoom.thumb.png
538,,2019-08-28T09:39:06.815,S190828j,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cart.png
539,,2019-08-28T09:39:06.816,S190828j,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cart.thumb.png
540,,2019-08-28T09:39:16.741,S190828j,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_moll_rot.png
541,,2019-08-28T09:39:16.742,S190828j,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_moll_rot.thumb.png
542,,2019-08-28T09:39:26.535,S190828j,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cart_rot.png
543,,2019-08-28T09:39:26.536,S190828j,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190828j_cart_rot.thumb.png
544,,2019-08-28T09:39:45.844,S190828j,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190828j_8192.png
545,,2019-08-28T09:46:36.790,S190828j,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190828j-tiles
