Ref,event,url,text,type,filetype,created,offset,tmerge,files,src,file,url-loc
182,GW190421_213856,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.939,,,"{'moll': {'file': 'GW190421_213856_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190421_213856_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190421_213856_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190421_213856_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190421_213856_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190421_213856_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190421_213856_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190421_213856_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
183,GW190421_213856,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190421_213856/GW190421_213856_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
184,GW190421_213856,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190421_213856/v2,JSON file,json-url,,,,,,,,
185,GW190421_213856,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,,,,,,
186,GW190421_213856,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190421_213856-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:07:40.814,,,,,,
187,GW190424_180648,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190424_180648/v1,JSON file,json-url,,,,,,,,
188,GW190424_180648,https://gwosc.org/eventapi/html/GWTC-2.1-auxiliary/GW190424_180648/v2,GWTC link,open-data,,,,,,,,
189,GW190424_180648,https://dcc.ligo.org/public/0169/P2000223/007/GW190424_180648.tar,Data file,data-file,tar,,,,,,,
190,GW190424_180648,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190424_180648_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:12:35.816,-0.25605,0.0,,,,
191,GW190424_180648,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.942,,,"{'moll': {'file': 'GW190424_180648_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190424_180648_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190424_180648_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190424_180648_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190424_180648_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190424_180648_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190424_180648_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190424_180648_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
192,GW190424_180648,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.943,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190424_180648_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190424_180648_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190424_180648_4096_eq.png'}}",,,
193,GW190424_180648,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.942,,,"{'moll': {'file': 'GW190424_180648_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190424_180648_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190424_180648_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190424_180648_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190424_180648_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190424_180648_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190424_180648_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190424_180648_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
194,GW190424_180648,https://gwosc.org/eventapi/json/GWTC-2.1-auxiliary/GW190424_180648/v2,JSON file,json-url,,,,,,,,
195,GW190424_180648,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190424_180648/GW190424_180648_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
196,GW190424_180648,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190424_180648-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:11:40.463,,,,,,
197,GW190425,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190425/v2,JSON file,json-url,,,,,,,,
198,GW190425,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190425/v3,GWTC link,open-data,,,,,,,,
199,GW190425,https://zenodo.org/api/files/ecf41927-9275-47da-8b37-e299693fe5cb/IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_cosmo.h5,Data file,data-file,h5,,,,,zenodo,,
200,GW190425,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190425_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:13:04.447,-39.10507,0.0,,,,
201,GW190425,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.945,,,"{'moll': {'file': 'GW190425_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190425_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190425_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190425_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190425_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190425_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190425_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190425_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
202,GW190425,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.947,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190425_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190425_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190425_4096_eq.png'}}",,,
203,GW190425,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.946,,,"{'moll': {'file': 'GW190425_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190425_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190425_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190425_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190425_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190425_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190425_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190425_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
204,GW190425,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190425/GW190425_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
205,GW190425,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190425/v3,JSON file,json-url,,,,,,,,
206,GW190425,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,,,,,,
207,GW190425,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190425-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:15:42.627,,,,,,
208,GW190426_152155,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190426_152155/v1,JSON file,json-url,,,,,,,,
209,GW190426_152155,https://gwosc.org/eventapi/html/GWTC-2.1-marginal/GW190426_152155/v2,GWTC link,open-data,,,,,,,,
210,GW190426_152155,https://dcc.ligo.org/public/0169/P2000223/007/GW190426_152155.tar,Data file,data-file,tar,,,,,,,
211,GW190426_152155,https://gwosc.org/eventapi/json/GWTC-2.1-marginal/GW190426_152155/v2,JSON file,json-url,,,,,,,,
212,GW190426_152155,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.949,,,"{'moll': {'file': 'GW190426_152155_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190426_152155_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190426_152155_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190426_152155_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190426_152155_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190426_152155_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190426_152155_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190426_152155_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
213,GW190426_152155,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.950,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190426_152155_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190426_152155_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190426_152155_4096_eq.png'}}",,,
214,GW190426_152155,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.949,,,"{'moll': {'file': 'GW190426_152155_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190426_152155_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190426_152155_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190426_152155_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190426_152155_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190426_152155_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190426_152155_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190426_152155_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
215,GW190426_152155,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190426_152155/GW190426_152155_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
216,GW190426_152155,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190426_152155-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:19:41.776,,,,,,
217,GW190426_190642,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190426_190642/v1,JSON file,json-url,,,,,,,,
218,GW190426_190642,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190426_190642/v1,GWTC link,open-data,,,,,,,,
219,GW190426_190642,https://zenodo.org/api/files/ecf41927-9275-47da-8b37-e299693fe5cb/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,Data file,data-file,h5,,,,,zenodo,,
220,GW190426_190642,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,,,,,,
221,GW190426_190642,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190426_190642_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:13:05.347,-0.06336,0.0,,,,
222,GW190426_190642,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.952,,,"{'moll': {'file': 'GW190426_190642_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190426_190642_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190426_190642_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190426_190642_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190426_190642_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190426_190642_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190426_190642_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190426_190642_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
223,GW190426_190642,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.953,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190426_190642_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190426_190642_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190426_190642_4096_eq.png'}}",,,
224,GW190426_190642,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.952,,,"{'moll': {'file': 'GW190426_190642_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190426_190642_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190426_190642_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190426_190642_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190426_190642_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190426_190642_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190426_190642_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190426_190642_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
225,GW190426_190642,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/IGWN-GWTC2p1-v1-PESkyMaps/GW190426_190642_skymaps/PrecessingSpinIMRHM_comoving.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
226,GW190426_190642,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190426_190642/v1,JSON file,json-url,,,,,,,,
227,GW190426_190642,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190426_190642-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:23:35.109,,,,,,
228,GW190503_185404,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190503_185404/v1,JSON file,json-url,,,,,,,,
229,GW190503_185404,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190503_185404/v2,GWTC link,open-data,,,,,,,,
230,GW190503_185404,https://zenodo.org/api/files/ecf41927-9275-47da-8b37-e299693fe5cb/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,Data file,data-file,h5,,,,,zenodo,,
231,GW190503_185404,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190503_185404_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:13:06.528,-0.26685,0.0,,,,
232,GW190503_185404,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.955,,,"{'moll': {'file': 'GW190503_185404_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190503_185404_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190503_185404_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190503_185404_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190503_185404_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190503_185404_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190503_185404_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190503_185404_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
233,GW190503_185404,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.956,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190503_185404_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190503_185404_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190503_185404_4096_eq.png'}}",,,
234,GW190503_185404,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.956,,,"{'moll': {'file': 'GW190503_185404_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190503_185404_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190503_185404_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190503_185404_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190503_185404_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190503_185404_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190503_185404_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190503_185404_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
235,GW190503_185404,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190503_185404/GW190503_185404_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
236,GW190503_185404,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190503_185404/v2,JSON file,json-url,,,,,,,,
237,GW190503_185404,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,,,,,,
238,GW190503_185404,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190503_185404-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:27:18.806,,,,,,
239,GW190512_180714,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190512_180714/v1,JSON file,json-url,,,,,,,,
240,GW190512_180714,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190512_180714/v2,GWTC link,open-data,,,,,,,,
241,GW190512_180714,https://zenodo.org/api/files/ecf41927-9275-47da-8b37-e299693fe5cb/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,Data file,data-file,h5,,,,,zenodo,,
242,GW190512_180714,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190512_180714_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:13:07.984,-0.85663,0.0,,,,
243,GW190512_180714,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.958,,,"{'moll': {'file': 'GW190512_180714_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190512_180714_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190512_180714_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190512_180714_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190512_180714_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190512_180714_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190512_180714_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190512_180714_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
244,GW190512_180714,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.960,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW190512_180714_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW190512_180714_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW190512_180714_4096_eq.png'}}",,,
245,GW190512_180714,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-thumb,,2023-06-04T11:38:39.959,,,"{'moll': {'file': 'GW190512_180714_moll.thumb.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190512_180714_moll_pretty.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190512_180714_moll_pretty_black.thumb.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190512_180714_cartzoom.thumb.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190512_180714_cartzoom_pretty.thumb.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190512_180714_cart.thumb.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190512_180714_moll_rot.thumb.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190512_180714_cart_rot.thumb.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
246,GW190512_180714,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW190512_180714/GW190512_180714_PublicationSamples.fits,Sky Map (local mirror),skymap-fits-local,,,,,,,,
247,GW190512_180714,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190512_180714/v2,JSON file,json-url,,,,,,,,
248,GW190512_180714,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,,,,,,
249,GW190512_180714,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW190512_180714-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T10:31:04.132,,,,,,
250,GW190513_205428,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190513_205428/v1,JSON file,json-url,,,,,,,,
251,GW190513_205428,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190513_205428/v2,GWTC link,open-data,,,,,,,,
252,GW190513_205428,https://zenodo.org/api/files/ecf41927-9275-47da-8b37-e299693fe5cb/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,Data file,data-file,h5,,,,,zenodo,,
253,GW190513_205428,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW190513_205428_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:13:08.996,-0.45517,0.0,,,,
254,GW190513_205428,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.992,,,"{'moll': {'file': 'GW190513_205428_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW190513_205428_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW190513_205428_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW190513_205428_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW190513_205428_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW190513_205428_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW190513_205428_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW190513_205428_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
