t strain*1e23
-0.90743 -5.3
-0.90719 -5.3
-0.90694 -5.2
-0.9067 -5.2
-0.90646 -5.1
-0.90621 -5.0
-0.90597 -5.0
-0.90572 -4.9
-0.90548 -4.8
-0.90524 -4.7
-0.90499 -4.6
-0.90475 -4.4
-0.9045 -4.3
-0.90426 -4.2
-0.90401 -4.0
-0.90377 -3.9
-0.90353 -3.8
-0.90328 -3.6
-0.90304 -3.4
-0.90279 -3.3
-0.90255 -3.1
-0.90231 -2.9
-0.90206 -2.8
-0.90182 -2.6
-0.90157 -2.4
-0.90133 -2.2
-0.90108 -2.0
-0.90084 -1.8
-0.9006 -1.6
-0.90035 -1.4
-0.90011 -1.2
-0.89986 -1.0
-0.89962 -0.8
-0.89938 -0.6
-0.89913 -0.4
-0.89889 -0.2
-0.89864 0.0
-0.8984 0.3
-0.89816 0.5
-0.89791 0.7
-0.89767 0.9
-0.89742 1.1
-0.89718 1.3
-0.89693 1.5
-0.89669 1.7
-0.89645 1.9
-0.8962 2.1
-0.89596 2.3
-0.89571 2.5
-0.89547 2.7
-0.89523 2.8
-0.89498 3.0
-0.89474 3.2
-0.89449 3.4
-0.89425 3.5
-0.894 3.7
-0.89376 3.8
-0.89352 4.0
-0.89327 4.1
-0.89303 4.3
-0.89278 4.4
-0.89254 4.5
-0.8923 4.6
-0.89205 4.7
-0.89181 4.8
-0.89156 4.9
-0.89132 5.0
-0.89108 5.1
-0.89083 5.2
-0.89059 5.2
-0.89034 5.3
-0.8901 5.3
-0.88985 5.4
-0.88961 5.4
-0.88937 5.4
-0.88912 5.5
-0.88888 5.5
-0.88863 5.5
-0.88839 5.5
-0.88815 5.4
-0.8879 5.4
-0.88766 5.4
-0.88741 5.3
-0.88717 5.3
-0.88692 5.2
-0.88668 5.2
-0.88644 5.1
-0.88619 5.0
-0.88595 4.9
-0.8857 4.8
-0.88546 4.7
-0.88522 4.6
-0.88497 4.5
-0.88473 4.4
-0.88448 4.3
-0.88424 4.1
-0.884 4.0
-0.88375 3.8
-0.88351 3.7
-0.88326 3.5
-0.88302 3.4
-0.88277 3.2
-0.88253 3.0
-0.88229 2.8
-0.88204 2.7
-0.8818 2.5
-0.88155 2.3
-0.88131 2.1
-0.88107 1.9
-0.88082 1.7
-0.88058 1.5
-0.88033 1.3
-0.88009 1.1
-0.87984 0.9
-0.8796 0.7
-0.87936 0.4
-0.87911 0.2
-0.87887 0.0
-0.87862 -0.2
-0.87838 -0.4
-0.87814 -0.6
-0.87789 -0.8
-0.87765 -1.0
-0.8774 -1.2
-0.87716 -1.4
-0.87691 -1.7
-0.87667 -1.9
-0.87643 -2.1
-0.87618 -2.2
-0.87594 -2.4
-0.87569 -2.6
-0.87545 -2.8
-0.87521 -3.0
-0.87496 -3.2
-0.87472 -3.3
-0.87447 -3.5
-0.87423 -3.7
-0.87399 -3.8
-0.87374 -4.0
-0.8735 -4.1
-0.87325 -4.3
-0.87301 -4.4
-0.87276 -4.5
-0.87252 -4.6
-0.87228 -4.7
-0.87203 -4.8
