t strain*1e23
-0.1861 -5.7
-0.18585 -5.4
-0.18561 -5.2
-0.18536 -4.9
-0.18512 -4.6
-0.18488 -4.3
-0.18463 -4.0
-0.18439 -3.7
-0.18414 -3.4
-0.1839 -3.1
-0.18365 -2.8
-0.18341 -2.5
-0.18317 -2.2
-0.18292 -1.9
-0.18268 -1.6
-0.18243 -1.3
-0.18219 -0.9
-0.18195 -0.6
-0.1817 -0.3
-0.18146 0.0
-0.18121 0.4
-0.18097 0.7
-0.18073 1.0
-0.18048 1.3
-0.18024 1.7
-0.17999 2.0
-0.17975 2.3
-0.1795 2.6
-0.17926 2.9
-0.17902 3.3
-0.17877 3.6
-0.17853 3.9
-0.17828 4.2
-0.17804 4.5
-0.1778 4.8
-0.17755 5.1
-0.17731 5.3
-0.17706 5.6
-0.17682 5.9
-0.17657 6.2
-0.17633 6.4
-0.17609 6.7
-0.17584 6.9
-0.1756 7.2
-0.17535 7.4
-0.17511 7.6
-0.17487 7.9
-0.17462 8.1
-0.17438 8.3
-0.17413 8.5
-0.17389 8.6
-0.17365 8.8
-0.1734 9.0
-0.17316 9.1
-0.17291 9.3
-0.17267 9.4
-0.17242 9.6
-0.17218 9.7
-0.17194 9.8
-0.17169 9.9
-0.17145 10.0
-0.1712 10.1
-0.17096 10.1
-0.17072 10.2
-0.17047 10.2
-0.17023 10.3
-0.16998 10.3
-0.16974 10.3
-0.16949 10.3
-0.16925 10.3
-0.16901 10.3
-0.16876 10.2
-0.16852 10.2
-0.16827 10.2
-0.16803 10.1
-0.16779 10.0
-0.16754 9.9
-0.1673 9.8
-0.16705 9.7
-0.16681 9.6
-0.16656 9.5
-0.16632 9.3
-0.16608 9.2
-0.16583 9.0
-0.16559 8.9
-0.16534 8.7
-0.1651 8.5
-0.16486 8.3
-0.16461 8.1
-0.16437 7.9
-0.16412 7.6
-0.16388 7.4
-0.16364 7.2
-0.16339 6.9
-0.16315 6.6
-0.1629 6.4
-0.16266 6.1
-0.16241 5.8
-0.16217 5.5
-0.16193 5.2
-0.16168 4.9
-0.16144 4.6
-0.16119 4.3
-0.16095 4.0
-0.16071 3.7
-0.16046 3.4
-0.16022 3.0
-0.15997 2.7
-0.15973 2.3
-0.15948 2.0
-0.15924 1.7
-0.159 1.3
-0.15875 1.0
-0.15851 0.6
-0.15826 0.3
-0.15802 0.0
-0.15778 -0.4
-0.15753 -0.8
-0.15729 -1.1
-0.15704 -1.5
-0.1568 -1.8
-0.15656 -2.2
