t strain*1e23
-0.41605 -6.1
-0.41581 -6.0
-0.41557 -5.9
-0.41532 -5.9
-0.41508 -5.8
-0.41483 -5.7
-0.41459 -5.6
-0.41434 -5.4
-0.4141 -5.3
-0.41386 -5.2
-0.41361 -5.1
-0.41337 -4.9
-0.41312 -4.8
-0.41288 -4.6
-0.41264 -4.4
-0.41239 -4.3
-0.41215 -4.1
-0.4119 -3.9
-0.41166 -3.7
-0.41142 -3.5
-0.41117 -3.3
-0.41093 -3.1
-0.41068 -2.9
-0.41044 -2.7
-0.41019 -2.4
-0.40995 -2.2
-0.40971 -2.0
-0.40946 -1.7
-0.40922 -1.5
-0.40897 -1.3
-0.40873 -1.0
-0.40849 -0.8
-0.40824 -0.6
-0.408 -0.3
-0.40775 0.0
-0.40751 0.2
-0.40726 0.4
-0.40702 0.7
-0.40678 0.9
-0.40653 1.1
-0.40629 1.4
-0.40604 1.6
-0.4058 1.8
-0.40556 2.1
-0.40531 2.3
-0.40507 2.5
-0.40482 2.8
-0.40458 3.0
-0.40434 3.2
-0.40409 3.4
-0.40385 3.6
-0.4036 3.8
-0.40336 4.0
-0.40311 4.2
-0.40287 4.4
-0.40263 4.5
-0.40238 4.7
-0.40214 4.9
-0.40189 5.0
-0.40165 5.2
-0.40141 5.3
-0.40116 5.4
-0.40092 5.6
-0.40067 5.7
-0.40043 5.8
-0.40018 5.9
-0.39994 6.0
-0.3997 6.0
-0.39945 6.1
-0.39921 6.2
-0.39896 6.2
-0.39872 6.3
-0.39848 6.3
-0.39823 6.3
-0.39799 6.3
-0.39774 6.3
-0.3975 6.3
-0.39725 6.3
-0.39701 6.3
-0.39677 6.2
-0.39652 6.2
-0.39628 6.1
-0.39603 6.1
-0.39579 6.0
-0.39555 5.9
-0.3953 5.8
-0.39506 5.7
-0.39481 5.6
-0.39457 5.5
-0.39433 5.4
-0.39408 5.3
-0.39384 5.1
-0.39359 5.0
-0.39335 4.8
-0.3931 4.6
-0.39286 4.5
-0.39262 4.3
-0.39237 4.1
-0.39213 3.9
-0.39188 3.7
-0.39164 3.5
-0.3914 3.3
-0.39115 3.1
-0.39091 2.9
-0.39066 2.6
-0.39042 2.4
-0.39017 2.2
-0.38993 1.9
-0.38969 1.7
-0.38944 1.5
-0.3892 1.2
-0.38895 1.0
-0.38871 0.7
-0.38847 0.5
-0.38822 0.2
-0.38798 0.0
-0.38773 -0.3
-0.38749 -0.5
-0.38725 -0.8
-0.387 -1.0
-0.38676 -1.3
-0.38651 -1.5
-0.38627 -1.7
-0.38602 -2.0
-0.38578 -2.2
-0.38554 -2.5
-0.38529 -2.7
-0.38505 -2.9
-0.3848 -3.1
-0.38456 -3.4
-0.38432 -3.6
-0.38407 -3.8
-0.38383 -4.0
-0.38358 -4.2
-0.38334 -4.4
-0.38309 -4.5
-0.38285 -4.7
-0.38261 -4.9
-0.38236 -5.0
-0.38212 -5.2
-0.38187 -5.3
-0.38163 -5.5
-0.38139 -5.6
-0.38114 -5.7
-0.3809 -5.8
-0.38065 -5.9
-0.38041 -6.0
-0.38017 -6.1
-0.37992 -6.2
-0.37968 -6.2
-0.37943 -6.3
-0.37919 -6.3
-0.37894 -6.4
-0.3787 -6.4
-0.37846 -6.4
-0.37821 -6.4
-0.37797 -6.4
-0.37772 -6.4
-0.37748 -6.3
-0.37724 -6.3
-0.37699 -6.3
-0.37675 -6.2
-0.3765 -6.1
-0.37626 -6.1
-0.37601 -6.0
-0.37577 -5.9
-0.37553 -5.8
-0.37528 -5.7
-0.37504 -5.5
-0.37479 -5.4
-0.37455 -5.3
-0.37431 -5.1
-0.37406 -5.0
-0.37382 -4.8
-0.37357 -4.6
-0.37333 -4.5
-0.37309 -4.3
-0.37284 -4.1
-0.3726 -3.9
-0.37235 -3.7
-0.37211 -3.5
-0.37186 -3.2
-0.37162 -3.0
-0.37138 -2.8
-0.37113 -2.5
-0.37089 -2.3
-0.37064 -2.1
-0.3704 -1.8
-0.37016 -1.6
-0.36991 -1.3
-0.36967 -1.1
-0.36942 -0.8
-0.36918 -0.6
-0.36893 -0.3
-0.36869 0.0
-0.36845 0.2
-0.3682 0.5
-0.36796 0.7
-0.36771 1.0
-0.36747 1.2
-0.36723 1.5
-0.36698 1.7
-0.36674 2.0
-0.36649 2.2
-0.36625 2.5
-0.366 2.7
-0.36576 2.9
-0.36552 3.2
-0.36527 3.4
-0.36503 3.6
-0.36478 3.8
-0.36454 4.0
-0.3643 4.2
-0.36405 4.4
-0.36381 4.6
-0.36356 4.8
-0.36332 4.9
-0.36308 5.1
-0.36283 5.3
-0.36259 5.4
-0.36234 5.5
