t strain*1e23
-0.35335 1.1
-0.3531 0.9
-0.35286 0.7
-0.35262 0.6
-0.35237 0.4
-0.35213 0.2
-0.35188 0.0
-0.35164 -0.1
-0.35139 -0.3
-0.35115 -0.5
-0.35091 -0.6
-0.35066 -0.8
-0.35042 -1.0
-0.35017 -1.1
-0.34993 -1.3
-0.34969 -1.5
-0.34944 -1.6
-0.3492 -1.8
-0.34895 -2.0
-0.34871 -2.1
-0.34846 -2.3
-0.34822 -2.4
-0.34798 -2.6
-0.34773 -2.7
-0.34749 -2.9
-0.34724 -3.0
-0.347 -3.1
-0.34676 -3.3
-0.34651 -3.4
-0.34627 -3.5
-0.34602 -3.6
-0.34578 -3.8
-0.34554 -3.9
-0.34529 -4.0
-0.34505 -4.1
-0.3448 -4.2
-0.34456 -4.3
-0.34431 -4.4
-0.34407 -4.5
-0.34383 -4.5
-0.34358 -4.6
-0.34334 -4.7
-0.34309 -4.7
-0.34285 -4.8
-0.34261 -4.8
-0.34236 -4.9
-0.34212 -4.9
-0.34187 -5.0
-0.34163 -5.0
-0.34138 -5.0
-0.34114 -5.0
-0.3409 -5.0
-0.34065 -5.0
-0.34041 -5.0
-0.34016 -5.0
-0.33992 -5.0
-0.33968 -5.0
-0.33943 -5.0
-0.33919 -4.9
-0.33894 -4.9
-0.3387 -4.9
-0.33846 -4.8
-0.33821 -4.8
-0.33797 -4.7
-0.33772 -4.6
-0.33748 -4.6
-0.33723 -4.5
-0.33699 -4.4
-0.33675 -4.3
-0.3365 -4.2
-0.33626 -4.1
-0.33601 -4.0
-0.33577 -3.9
-0.33553 -3.8
-0.33528 -3.7
-0.33504 -3.6
-0.33479 -3.4
-0.33455 -3.3
-0.3343 -3.2
-0.33406 -3.0
-0.33382 -2.9
-0.33357 -2.7
-0.33333 -2.6
-0.33308 -2.4
-0.33284 -2.3
-0.3326 -2.1
-0.33235 -2.0
-0.33211 -1.8
-0.33186 -1.6
-0.33162 -1.5
-0.33138 -1.3
-0.33113 -1.1
-0.33089 -0.9
-0.33064 -0.8
-0.3304 -0.6
-0.33015 -0.4
-0.32991 -0.2
-0.32967 0.0
-0.32942 0.1
-0.32918 0.3
-0.32893 0.5
-0.32869 0.6
-0.32845 0.8
-0.3282 1.0
-0.32796 1.2
-0.32771 1.3
-0.32747 1.5
-0.32722 1.7
-0.32698 1.9
-0.32674 2.0
-0.32649 2.2
-0.32625 2.3
-0.326 2.5
-0.32576 2.7
-0.32552 2.8
-0.32527 3.0
-0.32503 3.1
-0.32478 3.2
-0.32454 3.4
-0.3243 3.5
-0.32405 3.6
-0.32381 3.8
-0.32356 3.9
-0.32332 4.0
-0.32307 4.1
-0.32283 4.2
-0.32259 4.3
-0.32234 4.4
-0.3221 4.5
-0.32185 4.6
-0.32161 4.7
-0.32137 4.7
-0.32112 4.8
-0.32088 4.9
-0.32063 4.9
-0.32039 5.0
-0.32014 5.0
-0.3199 5.0
-0.31966 5.1
-0.31941 5.1
-0.31917 5.1
-0.31892 5.1
-0.31868 5.1
-0.31844 5.1
-0.31819 5.1
-0.31795 5.1
-0.3177 5.1
-0.31746 5.0
-0.31721 5.0
-0.31697 5.0
-0.31673 4.9
-0.31648 4.9
-0.31624 4.8
-0.31599 4.8
-0.31575 4.7
-0.31551 4.6
-0.31526 4.5
-0.31502 4.4
-0.31477 4.3
-0.31453 4.2
-0.31429 4.1
-0.31404 4.0
-0.3138 3.9
-0.31355 3.8
-0.31331 3.7
-0.31306 3.5
-0.31282 3.4
-0.31258 3.3
-0.31233 3.1
-0.31209 3.0
-0.31184 2.8
-0.3116 2.7
-0.31136 2.5
-0.31111 2.4
-0.31087 2.2
-0.31062 2.0
-0.31038 1.9
-0.31013 1.7
-0.30989 1.5
-0.30965 1.3
-0.3094 1.2
-0.30916 1.0
-0.30891 0.8
-0.30867 0.6
-0.30843 0.4
-0.30818 0.3
-0.30794 0.0
-0.30769 -0.1
-0.30745 -0.3
-0.30721 -0.5
-0.30696 -0.7
-0.30672 -0.8
-0.30647 -1.0
-0.30623 -1.2
-0.30598 -1.4
-0.30574 -1.6
-0.3055 -1.7
-0.30525 -1.9
-0.30501 -2.1
-0.30476 -2.3
-0.30452 -2.4
-0.30428 -2.6
-0.30403 -2.7
-0.30379 -2.9
-0.30354 -3.1
-0.3033 -3.2
-0.30305 -3.3
-0.30281 -3.5
-0.30257 -3.6
-0.30232 -3.8
-0.30208 -3.9
-0.30183 -4.0
-0.30159 -4.1
-0.30135 -4.2
-0.3011 -4.3
-0.30086 -4.4
-0.30061 -4.5
-0.30037 -4.6
-0.30013 -4.7
-0.29988 -4.8
-0.29964 -4.8
-0.29939 -4.9
-0.29915 -5.0
-0.2989 -5.0
-0.29866 -5.1
-0.29842 -5.1
-0.29817 -5.1
-0.29793 -5.2
-0.29768 -5.2
-0.29744 -5.2
-0.2972 -5.2
-0.29695 -5.2
-0.29671 -5.2
-0.29646 -5.2
-0.29622 -5.2
-0.29597 -5.1
-0.29573 -5.1
-0.29549 -5.0
-0.29524 -5.0
-0.295 -4.9
-0.29475 -4.9
-0.29451 -4.8
-0.29427 -4.7
-0.29402 -4.7
-0.29378 -4.6
-0.29353 -4.5
-0.29329 -4.4
-0.29305 -4.3
-0.2928 -4.2
-0.29256 -4.0
-0.29231 -3.9
-0.29207 -3.8
-0.29182 -3.7
-0.29158 -3.5
-0.29134 -3.4
-0.29109 -3.2
-0.29085 -3.1
-0.2906 -2.9
-0.29036 -2.8
-0.29012 -2.6
-0.28987 -2.5
-0.28963 -2.3
-0.28938 -2.1
-0.28914 -1.9
-0.28889 -1.8
-0.28865 -1.6
-0.28841 -1.4
-0.28816 -1.2
-0.28792 -1.0
-0.28767 -0.8
-0.28743 -0.6
-0.28719 -0.5
-0.28694 -0.3
-0.2867 0.0
-0.28645 0.1
-0.28621 0.3
-0.28596 0.5
-0.28572 0.7
-0.28548 0.9
-0.28523 1.1
-0.28499 1.3
-0.28474 1.4
-0.2845 1.6
-0.28426 1.8
-0.28401 2.0
-0.28377 2.2
-0.28352 2.3
-0.28328 2.5
-0.28304 2.7
-0.28279 2.8
-0.28255 3.0
-0.2823 3.2
-0.28206 3.3
-0.28181 3.5
-0.28157 3.6
-0.28133 3.7
-0.28108 3.9
-0.28084 4.0
-0.28059 4.1
-0.28035 4.3
-0.28011 4.4
-0.27986 4.5
-0.27962 4.6
-0.27937 4.7
-0.27913 4.8
-0.27888 4.8
-0.27864 4.9
-0.2784 5.0
-0.27815 5.0
-0.27791 5.1
-0.27766 5.1
-0.27742 5.2
-0.27718 5.2
-0.27693 5.2
-0.27669 5.3
-0.27644 5.3
-0.2762 5.3
-0.27596 5.3
-0.27571 5.3
-0.27547 5.3
-0.27522 5.2
-0.27498 5.2
-0.27473 5.2
-0.27449 5.1
-0.27425 5.1
-0.274 5.0
-0.27376 4.9
-0.27351 4.9
-0.27327 4.8
-0.27303 4.7
-0.27278 4.6
-0.27254 4.5
-0.27229 4.4
-0.27205 4.3
-0.2718 4.2
-0.27156 4.1
-0.27132 3.9
-0.27107 3.8
-0.27083 3.6
-0.27058 3.5
-0.27034 3.4
-0.2701 3.2
-0.26985 3.0
-0.26961 2.9
-0.26936 2.7
-0.26912 2.5
-0.26888 2.4
-0.26863 2.2
-0.26839 2.0
-0.26814 1.8
-0.2679 1.6
-0.26765 1.4
-0.26741 1.2
-0.26717 1.0
-0.26692 0.8
-0.26668 0.7
-0.26643 0.5
-0.26619 0.3
-0.26595 0.0
-0.2657 -0.1
-0.26546 -0.3
-0.26521 -0.5
-0.26497 -0.7
-0.26472 -0.9
-0.26448 -1.1
-0.26424 -1.3
-0.26399 -1.5
-0.26375 -1.7
-0.2635 -1.9
-0.26326 -2.1
-0.26302 -2.3
-0.26277 -2.5
-0.26253 -2.6
-0.26228 -2.8
-0.26204 -3.0
-0.2618 -3.1
-0.26155 -3.3
-0.26131 -3.5
-0.26106 -3.6
-0.26082 -3.8
-0.26057 -3.9
-0.26033 -4.0
-0.26009 -4.2
-0.25984 -4.3
-0.2596 -4.4
-0.25935 -4.5
-0.25911 -4.6
-0.25887 -4.7
-0.25862 -4.8
-0.25838 -4.9
-0.25813 -5.0
-0.25789 -5.1
-0.25764 -5.1
-0.2574 -5.2
-0.25716 -5.2
-0.25691 -5.3
-0.25667 -5.3
-0.25642 -5.3
-0.25618 -5.4
-0.25594 -5.4
-0.25569 -5.4
-0.25545 -5.4
-0.2552 -5.4
-0.25496 -5.3
-0.25471 -5.3
