t strain*1e23
-0.51622 -32.0
-0.51598 -31.7
-0.51573 -31.3
-0.51549 -30.9
-0.51524 -30.5
-0.515 -30.0
-0.51476 -29.4
-0.51451 -28.9
-0.51427 -28.2
-0.51402 -27.6
-0.51378 -26.9
-0.51353 -26.1
-0.51329 -25.3
-0.51305 -24.5
-0.5128 -23.7
-0.51256 -22.8
-0.51231 -21.8
-0.51207 -20.9
-0.51183 -19.9
-0.51158 -18.8
-0.51134 -17.8
-0.51109 -16.7
-0.51085 -15.6
-0.5106 -14.5
-0.51036 -13.3
-0.51012 -12.2
-0.50987 -11.0
-0.50963 -9.8
-0.50938 -8.6
-0.50914 -7.3
-0.5089 -6.1
-0.50865 -4.8
-0.50841 -3.6
-0.50816 -2.3
-0.50792 -1.0
-0.50768 0.3
-0.50743 1.5
-0.50719 2.8
-0.50694 4.1
-0.5067 5.3
-0.50645 6.6
-0.50621 7.8
-0.50597 9.1
-0.50572 10.3
-0.50548 11.5
-0.50523 12.7
-0.50499 13.8
-0.50475 15.0
-0.5045 16.1
-0.50426 17.2
-0.50401 18.3
-0.50377 19.4
-0.50352 20.4
-0.50328 21.4
-0.50304 22.3
-0.50279 23.3
-0.50255 24.2
-0.5023 25.0
-0.50206 25.9
-0.50182 26.6
-0.50157 27.4
-0.50133 28.1
-0.50108 28.7
-0.50084 29.4
-0.5006 29.9
-0.50035 30.5
-0.50011 30.9
-0.49986 31.4
-0.49962 31.8
-0.49937 32.1
-0.49913 32.4
-0.49889 32.7
-0.49864 32.8
-0.4984 33.0
-0.49815 33.1
-0.49791 33.1
-0.49767 33.1
-0.49742 33.1
-0.49718 33.0
-0.49693 32.8
-0.49669 32.6
-0.49644 32.4
-0.4962 32.1
-0.49596 31.7
-0.49571 31.3
-0.49547 30.9
-0.49522 30.4
-0.49498 29.8
-0.49474 29.3
-0.49449 28.6
-0.49425 28.0
-0.494 27.2
-0.49376 26.5
-0.49352 25.7
-0.49327 24.9
-0.49303 24.0
-0.49278 23.1
-0.49254 22.1
-0.49229 21.1
-0.49205 20.1
-0.49181 19.1
-0.49156 18.0
-0.49132 16.9
-0.49107 15.8
-0.49083 14.6
-0.49059 13.5
-0.49034 12.3
-0.4901 11.1
-0.48985 9.8
-0.48961 8.6
-0.48936 7.3
-0.48912 6.0
-0.48888 4.8
-0.48863 3.5
-0.48839 2.2
-0.48814 0.9
-0.4879 -0.4
-0.48766 -1.7
-0.48741 -3.0
-0.48717 -4.3
-0.48692 -5.6
-0.48668 -6.9
-0.48643 -8.2
-0.48619 -9.4
-0.48595 -10.7
-0.4857 -11.9
-0.48546 -13.1
-0.48521 -14.3
-0.48497 -15.5
-0.48473 -16.6
-0.48448 -17.7
-0.48424 -18.8
-0.48399 -19.9
-0.48375 -20.9
-0.48351 -21.9
-0.48326 -22.9
-0.48302 -23.9
-0.48277 -24.8
-0.48253 -25.6
-0.48228 -26.4
-0.48204 -27.2
-0.4818 -28.0
-0.48155 -28.7
-0.48131 -29.3
-0.48106 -29.9
-0.48082 -30.5
-0.48058 -31.0
-0.48033 -31.5
-0.48009 -31.9
-0.47984 -32.3
-0.4796 -32.6
-0.47935 -32.8
-0.47911 -33.1
-0.47887 -33.2
-0.47862 -33.4
-0.47838 -33.4
-0.47813 -33.4
-0.47789 -33.4
-0.47765 -33.3
-0.4774 -33.2
-0.47716 -33.0
-0.47691 -32.7
-0.47667 -32.4
-0.47643 -32.1
-0.47618 -31.7
-0.47594 -31.2
-0.47569 -30.8
-0.47545 -30.2
-0.4752 -29.6
-0.47496 -29.0
-0.47472 -28.3
-0.47447 -27.6
-0.47423 -26.8
-0.47398 -26.0
-0.47374 -25.1
-0.4735 -24.3
-0.47325 -23.3
-0.47301 -22.4
-0.47276 -21.4
-0.47252 -20.3
-0.47227 -19.3
-0.47203 -18.2
-0.47179 -17.0
-0.47154 -15.9
-0.4713 -14.7
-0.47105 -13.5
-0.47081 -12.3
-0.47057 -11.0
-0.47032 -9.8
-0.47008 -8.5
-0.46983 -7.2
-0.46959 -5.9
-0.46935 -4.6
-0.4691 -3.3
-0.46886 -1.9
-0.46861 -0.6
-0.46837 0.7
-0.46812 2.1
-0.46788 3.4
-0.46764 4.7
-0.46739 6.0
-0.46715 7.3
-0.4669 8.6
-0.46666 9.9
-0.46642 11.2
-0.46617 12.4
-0.46593 13.7
-0.46568 14.9
-0.46544 16.1
-0.46519 17.2
-0.46495 18.4
-0.46471 19.5
-0.46446 20.6
-0.46422 21.6
-0.46397 22.6
-0.46373 23.6
-0.46349 24.5
-0.46324 25.4
-0.463 26.3
-0.46275 27.1
-0.46251 27.9
-0.46227 28.6
-0.46202 29.3
-0.46178 30.0
-0.46153 30.5
-0.46129 31.1
-0.46104 31.6
-0.4608 32.0
-0.46056 32.4
-0.46031 32.8
-0.46007 33.1
-0.45982 33.3
-0.45958 33.5
-0.45934 33.6
-0.45909 33.7
-0.45885 33.7
-0.4586 33.7
-0.45836 33.6
-0.45811 33.5
-0.45787 33.3
-0.45763 33.1
-0.45738 32.8
-0.45714 32.4
-0.45689 32.0
-0.45665 31.6
-0.45641 31.1
-0.45616 30.5
-0.45592 29.9
-0.45567 29.3
-0.45543 28.6
-0.45518 27.8
-0.45494 27.1
-0.4547 26.2
-0.45445 25.4
-0.45421 24.4
-0.45396 23.5
-0.45372 22.5
-0.45348 21.5
-0.45323 20.4
-0.45299 19.3
-0.45274 18.2
-0.4525 17.0
-0.45226 15.8
-0.45201 14.6
-0.45177 13.4
-0.45152 12.1
-0.45128 10.9
-0.45103 9.6
-0.45079 8.2
-0.45055 6.9
-0.4503 5.6
-0.45006 4.2
-0.44981 2.9
-0.44957 1.5
-0.44933 0.2
-0.44908 -1.2
-0.44884 -2.6
-0.44859 -3.9
-0.44835 -5.3
-0.4481 -6.6
-0.44786 -8.0
-0.44762 -9.3
-0.44737 -10.6
-0.44713 -11.9
-0.44688 -13.2
-0.44664 -14.4
-0.4464 -15.6
-0.44615 -16.8
-0.44591 -18.0
-0.44566 -19.2
-0.44542 -20.3
-0.44518 -21.4
-0.44493 -22.4
-0.44469 -23.4
-0.44444 -24.4
-0.4442 -25.4
-0.44395 -26.3
-0.44371 -27.1
-0.44347 -27.9
-0.44322 -28.7
-0.44298 -29.4
-0.44273 -30.1
-0.44249 -30.7
-0.44225 -31.3
-0.442 -31.8
-0.44176 -32.3
-0.44151 -32.7
-0.44127 -33.0
-0.44102 -33.4
-0.44078 -33.6
-0.44054 -33.8
-0.44029 -34.0
-0.44005 -34.0
-0.4398 -34.1
-0.43956 -34.1
-0.43932 -34.0
-0.43907 -33.8
-0.43883 -33.6
-0.43858 -33.4
-0.43834 -33.1
-0.4381 -32.7
