t strain*1e23
-0.1358 1.8
-0.13556 1.1
-0.13531 0.4
-0.13507 -0.3
-0.13483 -1.0
-0.13458 -1.7
-0.13434 -2.4
-0.13409 -3.2
-0.13385 -3.9
-0.13361 -4.6
-0.13336 -5.3
-0.13312 -5.9
-0.13287 -6.6
-0.13263 -7.3
-0.13239 -8.0
-0.13214 -8.7
-0.1319 -9.3
-0.13165 -10.0
-0.13141 -10.6
-0.13116 -11.2
-0.13092 -11.9
-0.13068 -12.5
-0.13043 -13.1
-0.13019 -13.7
-0.12994 -14.2
-0.1297 -14.8
-0.12946 -15.3
-0.12921 -15.9
-0.12897 -16.4
-0.12872 -16.9
-0.12848 -17.4
-0.12823 -17.8
-0.12799 -18.3
-0.12775 -18.7
-0.1275 -19.1
-0.12726 -19.5
-0.12701 -19.9
-0.12677 -20.2
-0.12653 -20.6
-0.12628 -20.9
-0.12604 -21.2
-0.12579 -21.4
-0.12555 -21.7
-0.12531 -21.9
-0.12506 -22.1
-0.12482 -22.3
-0.12457 -22.4
-0.12433 -22.6
-0.12408 -22.7
-0.12384 -22.8
-0.1236 -22.8
-0.12335 -22.9
-0.12311 -22.9
-0.12286 -22.9
-0.12262 -22.8
-0.12238 -22.8
-0.12213 -22.7
-0.12189 -22.6
-0.12164 -22.4
-0.1214 -22.3
-0.12115 -22.1
-0.12091 -21.9
-0.12067 -21.7
-0.12042 -21.4
-0.12018 -21.1
-0.11993 -20.8
-0.11969 -20.5
-0.11945 -20.1
-0.1192 -19.8
-0.11896 -19.4
-0.11871 -19.0
-0.11847 -18.5
-0.11823 -18.1
-0.11798 -17.6
-0.11774 -17.1
-0.11749 -16.6
-0.11725 -16.1
-0.117 -15.5
-0.11676 -14.9
-0.11652 -14.3
-0.11627 -13.7
-0.11603 -13.1
-0.11578 -12.5
-0.11554 -11.8
-0.1153 -11.1
-0.11505 -10.5
-0.11481 -9.8
-0.11456 -9.1
-0.11432 -8.3
-0.11407 -7.6
-0.11383 -6.9
-0.11359 -6.1
-0.11334 -5.4
-0.1131 -4.6
-0.11285 -3.8
-0.11261 -3.1
-0.11237 -2.3
-0.11212 -1.5
-0.11188 -0.7
-0.11163 0.0
-0.11139 0.9
-0.11115 1.7
-0.1109 2.4
-0.11066 3.2
-0.11041 4.0
-0.11017 4.8
-0.10992 5.6
-0.10968 6.4
-0.10944 7.1
-0.10919 7.9
-0.10895 8.6
-0.1087 9.4
-0.10846 10.1
-0.10822 10.9
-0.10797 11.6
-0.10773 12.3
-0.10748 13.0
-0.10724 13.6
-0.10699 14.3
-0.10675 14.9
-0.10651 15.6
-0.10626 16.2
-0.10602 16.8
-0.10577 17.4
-0.10553 17.9
-0.10529 18.4
-0.10504 19.0
-0.1048 19.4
-0.10455 19.9
-0.10431 20.4
-0.10406 20.8
-0.10382 21.2
-0.10358 21.6
-0.10333 21.9
-0.10309 22.2
-0.10284 22.5
-0.1026 22.8
-0.10236 23.1
-0.10211 23.3
-0.10187 23.5
-0.10162 23.6
-0.10138 23.8
-0.10114 23.9
-0.10089 23.9
-0.10065 24.0
-0.1004 24.0
-0.10016 24.0
-0.09991 24.0
-0.09967 23.9
-0.09943 23.8
-0.09918 23.6
-0.09894 23.5
-0.09869 23.3
-0.09845 23.1
-0.09821 22.8
-0.09796 22.6
-0.09772 22.2
-0.09747 21.9
-0.09723 21.5
-0.09698 21.2
-0.09674 20.7
-0.0965 20.3
-0.09625 19.8
-0.09601 19.3
-0.09576 18.8
-0.09552 18.3
-0.09528 17.7
-0.09503 17.1
-0.09479 16.5
-0.09454 15.8
-0.0943 15.2
-0.09406 14.5
-0.09381 13.8
-0.09357 13.0
-0.09332 12.3
-0.09308 11.5
-0.09283 10.8
-0.09259 10.0
-0.09235 9.2
-0.0921 8.3
-0.09186 7.5
-0.09161 6.7
-0.09137 5.8
-0.09113 4.9
-0.09088 4.1
-0.09064 3.2
-0.09039 2.3
-0.09015 1.4
-0.0899 0.5
-0.08966 -0.4
-0.08942 -1.3
-0.08917 -2.2
-0.08893 -3.1
-0.08868 -4.0
-0.08844 -4.9
-0.0882 -5.8
-0.08795 -6.7
-0.08771 -7.5
-0.08746 -8.4
-0.08722 -9.3
-0.08698 -10.1
-0.08673 -11.0
-0.08649 -11.8
-0.08624 -12.6
-0.086 -13.4
-0.08575 -14.2
-0.08551 -14.9
-0.08527 -15.7
-0.08502 -16.4
-0.08478 -17.1
-0.08453 -17.8
-0.08429 -18.4
-0.08405 -19.1
-0.0838 -19.7
-0.08356 -20.3
-0.08331 -20.8
-0.08307 -21.3
-0.08282 -21.8
-0.08258 -22.3
-0.08234 -22.7
-0.08209 -23.1
-0.08185 -23.5
-0.0816 -23.9
-0.08136 -24.2
-0.08112 -24.4
-0.08087 -24.7
-0.08063 -24.9
-0.08038 -25.1
-0.08014 -25.2
-0.0799 -25.3
-0.07965 -25.4
-0.07941 -25.4
-0.07916 -25.4
-0.07892 -25.3
-0.07867 -25.3
-0.07843 -25.1
-0.07819 -25.0
-0.07794 -24.8
-0.0777 -24.5
-0.07745 -24.3
-0.07721 -24.0
-0.07697 -23.6
-0.07672 -23.2
-0.07648 -22.8
-0.07623 -22.4
-0.07599 -21.9
-0.07574 -21.4
-0.0755 -20.8
-0.07526 -20.2
-0.07501 -19.6
-0.07477 -19.0
-0.07452 -18.3
-0.07428 -17.6
-0.07404 -16.8
-0.07379 -16.1
-0.07355 -15.3
-0.0733 -14.5
-0.07306 -13.6
-0.07281 -12.8
-0.07257 -11.9
-0.07233 -11.0
-0.07208 -10.0
-0.07184 -9.1
-0.07159 -8.1
-0.07135 -7.1
-0.07111 -6.1
-0.07086 -5.1
