t strain*1e23
-1.02355 -5.1
-1.02331 -5.1
-1.02306 -5.0
-1.02282 -5.0
-1.02258 -4.9
-1.02233 -4.8
-1.02209 -4.8
-1.02184 -4.7
-1.0216 -4.6
-1.02135 -4.5
-1.02111 -4.4
-1.02087 -4.3
-1.02062 -4.1
-1.02038 -4.0
-1.02013 -3.9
-1.01989 -3.7
-1.01965 -3.6
-1.0194 -3.5
-1.01916 -3.3
-1.01891 -3.1
-1.01867 -3.0
-1.01842 -2.8
-1.01818 -2.6
-1.01794 -2.5
-1.01769 -2.3
-1.01745 -2.1
-1.0172 -1.9
-1.01696 -1.7
-1.01672 -1.5
-1.01647 -1.4
-1.01623 -1.2
-1.01598 -1.0
-1.01574 -0.8
-1.0155 -0.6
-1.01525 -0.4
-1.01501 -0.2
-1.01476 0.0
-1.01452 0.2
-1.01427 0.4
-1.01403 0.6
-1.01379 0.8
-1.01354 1.0
-1.0133 1.2
-1.01305 1.4
-1.01281 1.6
-1.01257 1.8
-1.01232 2.0
-1.01208 2.2
-1.01183 2.4
-1.01159 2.5
-1.01134 2.7
-1.0111 2.9
-1.01086 3.0
-1.01061 3.2
-1.01037 3.4
-1.01012 3.5
-1.00988 3.7
-1.00964 3.8
-1.00939 3.9
-1.00915 4.1
-1.0089 4.2
-1.00866 4.3
-1.00842 4.4
-1.00817 4.5
-1.00793 4.6
-1.00768 4.7
-1.00744 4.8
-1.00719 4.9
-1.00695 4.9
-1.00671 5.0
-1.00646 5.1
-1.00622 5.1
-1.00597 5.2
-1.00573 5.2
-1.00549 5.2
-1.00524 5.2
-1.005 5.2
-1.00475 5.2
-1.00451 5.2
-1.00426 5.2
-1.00402 5.2
-1.00378 5.2
-1.00353 5.1
-1.00329 5.1
-1.00304 5.0
-1.0028 5.0
-1.00256 4.9
-1.00231 4.8
-1.00207 4.7
-1.00182 4.6
-1.00158 4.6
-1.00134 4.4
-1.00109 4.3
-1.00085 4.2
-1.0006 4.1
-1.00036 4.0
-1.00011 3.8
-0.99987 3.7
-0.99963 3.5
-0.99938 3.4
-0.99914 3.2
-0.99889 3.1
-0.99865 2.9
-0.99841 2.7
-0.99816 2.6
-0.99792 2.4
-0.99767 2.2
-0.99743 2.0
-0.99718 1.8
-0.99694 1.6
-0.9967 1.4
-0.99645 1.2
-0.99621 1.1
-0.99596 0.9
-0.99572 0.7
-0.99548 0.4
-0.99523 0.2
-0.99499 0.0
-0.99474 -0.2
-0.9945 -0.4
-0.99426 -0.6
-0.99401 -0.8
-0.99377 -1.0
-0.99352 -1.2
-0.99328 -1.4
-0.99303 -1.6
-0.99279 -1.8
-0.99255 -1.9
-0.9923 -2.1
-0.99206 -2.3
-0.99181 -2.5
-0.99157 -2.7
-0.99133 -2.8
-0.99108 -3.0
-0.99084 -3.2
-0.99059 -3.3
-0.99035 -3.5
-0.9901 -3.6
-0.98986 -3.8
-0.98962 -3.9
-0.98937 -4.1
-0.98913 -4.2
-0.98888 -4.3
-0.98864 -4.4
-0.9884 -4.5
-0.98815 -4.6
-0.98791 -4.7
-0.98766 -4.8
-0.98742 -4.9
-0.98717 -5.0
