t strain*1e23
-0.84894 -7.8
-0.84869 -7.8
-0.84845 -7.7
-0.84821 -7.6
-0.84796 -7.5
-0.84772 -7.4
-0.84747 -7.3
-0.84723 -7.1
-0.84698 -7.0
-0.84674 -6.9
-0.8465 -6.7
-0.84625 -6.5
-0.84601 -6.3
-0.84576 -6.1
-0.84552 -5.9
-0.84528 -5.7
-0.84503 -5.5
-0.84479 -5.3
-0.84454 -5.1
-0.8443 -4.8
-0.84406 -4.6
-0.84381 -4.3
-0.84357 -4.0
-0.84332 -3.8
-0.84308 -3.5
-0.84283 -3.2
-0.84259 -2.9
-0.84235 -2.7
-0.8421 -2.4
-0.84186 -2.1
-0.84161 -1.8
-0.84137 -1.5
-0.84113 -1.2
-0.84088 -0.9
-0.84064 -0.6
-0.84039 -0.2
-0.84015 0.0
-0.8399 0.4
-0.83966 0.7
-0.83942 1.0
-0.83917 1.3
-0.83893 1.6
-0.83868 1.9
-0.83844 2.2
-0.8382 2.5
-0.83795 2.8
-0.83771 3.1
-0.83746 3.3
-0.83722 3.6
-0.83698 3.9
-0.83673 4.2
-0.83649 4.4
-0.83624 4.7
-0.836 4.9
-0.83575 5.2
-0.83551 5.4
-0.83527 5.6
-0.83502 5.8
-0.83478 6.1
-0.83453 6.3
-0.83429 6.4
-0.83405 6.6
-0.8338 6.8
-0.83356 6.9
-0.83331 7.1
-0.83307 7.2
-0.83282 7.4
-0.83258 7.5
-0.83234 7.6
-0.83209 7.7
-0.83185 7.8
-0.8316 7.8
-0.83136 7.9
-0.83112 7.9
-0.83087 8.0
-0.83063 8.0
-0.83038 8.0
-0.83014 8.0
-0.8299 8.0
-0.82965 8.0
-0.82941 8.0
-0.82916 7.9
-0.82892 7.8
-0.82867 7.8
-0.82843 7.7
-0.82819 7.6
-0.82794 7.5
-0.8277 7.4
-0.82745 7.3
-0.82721 7.1
-0.82697 7.0
-0.82672 6.8
-0.82648 6.6
-0.82623 6.5
-0.82599 6.3
-0.82574 6.1
-0.8255 5.9
-0.82526 5.6
-0.82501 5.4
-0.82477 5.2
-0.82452 4.9
-0.82428 4.7
-0.82404 4.4
-0.82379 4.2
-0.82355 3.9
-0.8233 3.6
-0.82306 3.3
-0.82281 3.1
-0.82257 2.8
-0.82233 2.5
-0.82208 2.2
-0.82184 1.9
-0.82159 1.6
-0.82135 1.3
-0.82111 1.0
-0.82086 0.6
-0.82062 0.3
-0.82037 0.0
-0.82013 -0.3
-0.81989 -0.6
-0.81964 -0.9
-0.8194 -1.2
-0.81915 -1.5
-0.81891 -1.8
-0.81866 -2.1
-0.81842 -2.4
-0.81818 -2.7
-0.81793 -3.0
-0.81769 -3.3
-0.81744 -3.6
-0.8172 -3.9
-0.81696 -4.2
-0.81671 -4.4
-0.81647 -4.7
-0.81622 -4.9
-0.81598 -5.2
-0.81573 -5.4
-0.81549 -5.6
-0.81525 -5.9
-0.815 -6.1
-0.81476 -6.3
-0.81451 -6.5
-0.81427 -6.6
-0.81403 -6.8
-0.81378 -7.0
-0.81354 -7.1
-0.81329 -7.3
-0.81305 -7.4
-0.81281 -7.5
-0.81256 -7.6
-0.81232 -7.7
-0.81207 -7.8
-0.81183 -7.9
-0.81158 -7.9
-0.81134 -8.0
-0.8111 -8.0
-0.81085 -8.1
-0.81061 -8.1
-0.81036 -8.1
-0.81012 -8.1
-0.80988 -8.0
-0.80963 -8.0
-0.80939 -7.9
-0.80914 -7.9
-0.8089 -7.8
-0.80865 -7.7
-0.80841 -7.6
-0.80817 -7.5
-0.80792 -7.4
-0.80768 -7.3
-0.80743 -7.1
-0.80719 -7.0
-0.80695 -6.8
-0.8067 -6.6
-0.80646 -6.4
-0.80621 -6.3
-0.80597 -6.1
-0.80573 -5.8
-0.80548 -5.6
-0.80524 -5.4
-0.80499 -5.1
-0.80475 -4.9
-0.8045 -4.6
-0.80426 -4.4
-0.80402 -4.1
-0.80377 -3.8
-0.80353 -3.6
-0.80328 -3.3
-0.80304 -3.0
-0.8028 -2.7
-0.80255 -2.4
-0.80231 -2.1
-0.80206 -1.8
-0.80182 -1.5
-0.80157 -1.2
-0.80133 -0.8
-0.80109 -0.5
-0.80084 -0.2
-0.8006 0.1
-0.80035 0.4
-0.80011 0.7
-0.79987 1.1
-0.79962 1.4
-0.79938 1.7
-0.79913 2.0
-0.79889 2.3
-0.79865 2.6
-0.7984 2.9
-0.79816 3.2
-0.79791 3.5
-0.79767 3.8
-0.79742 4.0
-0.79718 4.3
-0.79694 4.6
-0.79669 4.8
-0.79645 5.1
-0.7962 5.3
