t strain*1e23
-0.39583 3.1
-0.39558 2.9
-0.39534 2.6
-0.3951 2.3
-0.39485 2.0
-0.39461 1.7
-0.39436 1.4
-0.39412 1.1
-0.39388 0.8
-0.39363 0.5
-0.39339 0.2
-0.39314 0.0
-0.3929 -0.4
-0.39265 -0.7
-0.39241 -1.0
-0.39217 -1.2
-0.39192 -1.5
-0.39168 -1.8
-0.39143 -2.1
-0.39119 -2.4
-0.39095 -2.7
-0.3907 -3.0
-0.39046 -3.3
-0.39021 -3.5
-0.38997 -3.8
-0.38972 -4.1
-0.38948 -4.3
-0.38924 -4.6
-0.38899 -4.8
-0.38875 -5.1
-0.3885 -5.3
-0.38826 -5.6
-0.38802 -5.8
-0.38777 -6.0
-0.38753 -6.2
-0.38728 -6.4
-0.38704 -6.6
-0.3868 -6.8
-0.38655 -7.0
-0.38631 -7.2
-0.38606 -7.3
-0.38582 -7.5
-0.38557 -7.6
-0.38533 -7.8
-0.38509 -7.9
-0.38484 -8.0
-0.3846 -8.1
-0.38435 -8.2
-0.38411 -8.3
-0.38387 -8.4
-0.38362 -8.4
-0.38338 -8.5
-0.38313 -8.5
-0.38289 -8.6
-0.38264 -8.6
-0.3824 -8.6
-0.38216 -8.6
-0.38191 -8.6
-0.38167 -8.6
-0.38142 -8.6
-0.38118 -8.5
-0.38094 -8.5
-0.38069 -8.4
-0.38045 -8.4
-0.3802 -8.3
-0.37996 -8.2
-0.37971 -8.1
-0.37947 -8.0
-0.37923 -7.8
-0.37898 -7.7
-0.37874 -7.6
-0.37849 -7.4
-0.37825 -7.3
-0.37801 -7.1
-0.37776 -6.9
-0.37752 -6.7
-0.37727 -6.5
-0.37703 -6.3
-0.37679 -6.1
-0.37654 -5.9
-0.3763 -5.7
-0.37605 -5.5
-0.37581 -5.2
-0.37556 -5.0
-0.37532 -4.7
-0.37508 -4.5
-0.37483 -4.2
-0.37459 -3.9
-0.37434 -3.6
-0.3741 -3.4
-0.37386 -3.1
-0.37361 -2.8
-0.37337 -2.5
-0.37312 -2.2
-0.37288 -1.9
-0.37263 -1.6
-0.37239 -1.3
-0.37215 -1.0
-0.3719 -0.7
-0.37166 -0.4
-0.37141 0.0
-0.37117 0.2
-0.37093 0.5
-0.37068 0.8
-0.37044 1.2
-0.37019 1.5
-0.36995 1.8
-0.36971 2.1
-0.36946 2.4
-0.36922 2.7
-0.36897 2.9
-0.36873 3.2
-0.36848 3.5
-0.36824 3.8
-0.368 4.1
-0.36775 4.4
-0.36751 4.6
-0.36726 4.9
-0.36702 5.1
-0.36678 5.4
-0.36653 5.6
-0.36629 5.9
-0.36604 6.1
-0.3658 6.3
-0.36555 6.5
-0.36531 6.7
-0.36507 6.9
-0.36482 7.1
-0.36458 7.3
-0.36433 7.4
-0.36409 7.6
-0.36385 7.7
-0.3636 7.9
-0.36336 8.0
-0.36311 8.1
-0.36287 8.2
-0.36263 8.3
-0.36238 8.4
-0.36214 8.5
-0.36189 8.6
-0.36165 8.6
-0.3614 8.7
-0.36116 8.7
-0.36092 8.7
-0.36067 8.7
-0.36043 8.7
-0.36018 8.7
-0.35994 8.7
-0.3597 8.7
-0.35945 8.6
-0.35921 8.6
-0.35896 8.5
-0.35872 8.4
-0.35847 8.3
-0.35823 8.2
-0.35799 8.1
-0.35774 8.0
-0.3575 7.9
-0.35725 7.7
-0.35701 7.6
-0.35677 7.4
-0.35652 7.2
-0.35628 7.1
-0.35603 6.9
-0.35579 6.7
-0.35555 6.5
-0.3553 6.2
-0.35506 6.0
-0.35481 5.8
-0.35457 5.5
-0.35432 5.3
-0.35408 5.0
-0.35384 4.8
-0.35359 4.5
-0.35335 4.2
-0.3531 4.0
-0.35286 3.7
-0.35262 3.4
-0.35237 3.1
-0.35213 2.8
-0.35188 2.5
-0.35164 2.2
-0.35139 1.9
-0.35115 1.6
-0.35091 1.2
-0.35066 0.9
-0.35042 0.6
-0.35017 0.3
-0.34993 0.0
-0.34969 -0.3
-0.34944 -0.7
-0.3492 -1.0
-0.34895 -1.3
-0.34871 -1.6
-0.34846 -1.9
-0.34822 -2.2
-0.34798 -2.5
-0.34773 -2.8
-0.34749 -3.1
-0.34724 -3.4
-0.347 -3.7
-0.34676 -4.0
-0.34651 -4.3
-0.34627 -4.6
-0.34602 -4.9
-0.34578 -5.1
-0.34554 -5.4
-0.34529 -5.6
-0.34505 -5.9
-0.3448 -6.1
-0.34456 -6.3
-0.34431 -6.6
-0.34407 -6.8
-0.34383 -7.0
-0.34358 -7.2
-0.34334 -7.4
-0.34309 -7.5
-0.34285 -7.7
-0.34261 -7.8
-0.34236 -8.0
-0.34212 -8.1
