t strain*1e23
-0.45024 -1.1
-0.45 -0.9
-0.44976 -0.7
-0.44951 -0.5
-0.44927 -0.3
-0.44902 -0.1
-0.44878 0.0
-0.44854 0.2
-0.44829 0.4
-0.44805 0.6
-0.4478 0.8
-0.44756 1.0
-0.44732 1.2
-0.44707 1.3
-0.44683 1.5
-0.44658 1.7
-0.44634 1.9
-0.44609 2.1
-0.44585 2.2
-0.44561 2.4
-0.44536 2.6
-0.44512 2.7
-0.44487 2.9
-0.44463 3.0
-0.44439 3.2
-0.44414 3.4
-0.4439 3.5
-0.44365 3.6
-0.44341 3.8
-0.44316 3.9
-0.44292 4.0
-0.44268 4.2
-0.44243 4.3
-0.44219 4.4
-0.44194 4.5
-0.4417 4.6
-0.44146 4.7
-0.44121 4.8
-0.44097 4.9
-0.44072 5.0
-0.44048 5.0
-0.44024 5.1
-0.43999 5.2
-0.43975 5.2
-0.4395 5.3
-0.43926 5.3
-0.43901 5.3
-0.43877 5.4
-0.43853 5.4
-0.43828 5.4
-0.43804 5.4
-0.43779 5.4
-0.43755 5.4
-0.43731 5.4
-0.43706 5.4
-0.43682 5.4
-0.43657 5.3
-0.43633 5.3
-0.43608 5.2
-0.43584 5.2
-0.4356 5.1
-0.43535 5.1
-0.43511 5.0
-0.43486 4.9
-0.43462 4.9
-0.43438 4.8
-0.43413 4.7
-0.43389 4.6
-0.43364 4.5
-0.4334 4.4
-0.43316 4.2
-0.43291 4.1
-0.43267 4.0
-0.43242 3.9
-0.43218 3.7
-0.43193 3.6
-0.43169 3.4
-0.43145 3.3
-0.4312 3.1
-0.43096 3.0
-0.43071 2.8
-0.43047 2.6
-0.43023 2.5
-0.42998 2.3
-0.42974 2.1
-0.42949 1.9
-0.42925 1.8
-0.429 1.6
-0.42876 1.4
-0.42852 1.2
-0.42827 1.0
-0.42803 0.8
-0.42778 0.6
-0.42754 0.5
-0.4273 0.3
-0.42705 0.0
-0.42681 -0.1
-0.42656 -0.3
-0.42632 -0.5
-0.42607 -0.7
-0.42583 -0.9
-0.42559 -1.1
-0.42534 -1.3
-0.4251 -1.5
-0.42485 -1.6
-0.42461 -1.8
-0.42437 -2.0
-0.42412 -2.2
-0.42388 -2.4
-0.42363 -2.5
-0.42339 -2.7
-0.42315 -2.9
-0.4229 -3.0
-0.42266 -3.2
-0.42241 -3.4
-0.42217 -3.5
-0.42192 -3.6
-0.42168 -3.8
-0.42144 -3.9
-0.42119 -4.1
-0.42095 -4.2
-0.4207 -4.3
-0.42046 -4.4
-0.42022 -4.5
-0.41997 -4.6
-0.41973 -4.7
-0.41948 -4.8
-0.41924 -4.9
-0.41899 -5.0
-0.41875 -5.1
-0.41851 -5.2
-0.41826 -5.2
-0.41802 -5.3
-0.41777 -5.3
-0.41753 -5.4
-0.41729 -5.4
-0.41704 -5.4
-0.4168 -5.5
