t strain*1e23
-3.36975 4.4
-3.36951 4.4
-3.36926 4.3
-3.36902 4.3
-3.36878 4.3
-3.36853 4.2
-3.36829 4.2
-3.36804 4.1
-3.3678 4.1
-3.36756 4.0
-3.36731 3.9
-3.36707 3.8
-3.36682 3.8
-3.36658 3.7
-3.36633 3.6
-3.36609 3.5
-3.36585 3.4
-3.3656 3.3
-3.36536 3.1
-3.36511 3.0
-3.36487 2.9
-3.36463 2.8
-3.36438 2.6
-3.36414 2.5
-3.36389 2.4
-3.36365 2.2
-3.36341 2.1
-3.36316 1.9
-3.36292 1.8
-3.36267 1.6
-3.36243 1.4
-3.36218 1.3
-3.36194 1.1
-3.3617 1.0
-3.36145 0.8
-3.36121 0.6
-3.36096 0.5
-3.36072 0.3
-3.36048 0.1
-3.36023 0.0
-3.35999 -0.2
-3.35974 -0.4
-3.3595 -0.6
-3.35925 -0.7
-3.35901 -0.9
-3.35877 -1.1
-3.35852 -1.2
-3.35828 -1.4
-3.35803 -1.5
-3.35779 -1.7
-3.35755 -1.9
-3.3573 -2.0
-3.35706 -2.2
-3.35681 -2.3
-3.35657 -2.4
-3.35633 -2.6
-3.35608 -2.7
-3.35584 -2.8
-3.35559 -3.0
-3.35535 -3.1
-3.3551 -3.2
-3.35486 -3.3
-3.35462 -3.4
-3.35437 -3.5
-3.35413 -3.6
-3.35388 -3.7
-3.35364 -3.8
-3.3534 -3.9
-3.35315 -4.0
-3.35291 -4.0
-3.35266 -4.1
-3.35242 -4.2
-3.35217 -4.2
-3.35193 -4.3
-3.35169 -4.3
-3.35144 -4.3
-3.3512 -4.4
-3.35095 -4.4
-3.35071 -4.4
-3.35047 -4.4
-3.35022 -4.4
-3.34998 -4.4
-3.34973 -4.4
-3.34949 -4.4
-3.34925 -4.3
-3.349 -4.3
-3.34876 -4.3
-3.34851 -4.2
-3.34827 -4.2
-3.34802 -4.1
-3.34778 -4.0
-3.34754 -4.0
-3.34729 -3.9
-3.34705 -3.8
-3.3468 -3.7
-3.34656 -3.6
-3.34632 -3.5
-3.34607 -3.4
-3.34583 -3.3
-3.34558 -3.2
-3.34534 -3.1
-3.34509 -3.0
-3.34485 -2.9
-3.34461 -2.7
-3.34436 -2.6
-3.34412 -2.4
-3.34387 -2.3
-3.34363 -2.2
-3.34339 -2.0
-3.34314 -1.9
-3.3429 -1.7
-3.34265 -1.5
