t strain*1e23
-0.7557 -2.3
-0.75545 -2.3
-0.75521 -2.3
-0.75496 -2.3
-0.75472 -2.2
-0.75447 -2.2
-0.75423 -2.2
-0.75399 -2.1
-0.75374 -2.1
-0.7535 -2.0
-0.75325 -2.0
-0.75301 -1.9
-0.75277 -1.9
-0.75252 -1.8
-0.75228 -1.8
-0.75203 -1.7
-0.75179 -1.6
-0.75154 -1.6
-0.7513 -1.5
-0.75106 -1.4
-0.75081 -1.3
-0.75057 -1.3
-0.75032 -1.2
-0.75008 -1.1
-0.74984 -1.0
-0.74959 -0.9
-0.74935 -0.8
-0.7491 -0.8
-0.74886 -0.7
-0.74862 -0.6
-0.74837 -0.5
-0.74813 -0.4
-0.74788 -0.3
-0.74764 -0.2
-0.74739 -0.1
-0.74715 0.0
-0.74691 0.0
-0.74666 0.2
-0.74642 0.3
-0.74617 0.3
-0.74593 0.4
-0.74569 0.5
-0.74544 0.6
-0.7452 0.7
-0.74495 0.8
-0.74471 0.9
-0.74446 1.0
-0.74422 1.1
-0.74398 1.1
-0.74373 1.2
-0.74349 1.3
-0.74324 1.4
-0.743 1.4
-0.74276 1.5
-0.74251 1.6
-0.74227 1.7
-0.74202 1.7
-0.74178 1.8
-0.74154 1.9
-0.74129 1.9
-0.74105 2.0
-0.7408 2.0
-0.74056 2.1
-0.74031 2.1
-0.74007 2.2
-0.73983 2.2
-0.73958 2.2
-0.73934 2.3
-0.73909 2.3
-0.73885 2.3
-0.73861 2.3
-0.73836 2.4
-0.73812 2.4
-0.73787 2.4
-0.73763 2.4
-0.73738 2.4
-0.73714 2.4
-0.7369 2.4
-0.73665 2.4
-0.73641 2.4
-0.73616 2.4
-0.73592 2.4
-0.73568 2.4
-0.73543 2.3
-0.73519 2.3
-0.73494 2.3
-0.7347 2.2
-0.73446 2.2
-0.73421 2.2
-0.73397 2.1
-0.73372 2.1
-0.73348 2.0
-0.73323 2.0
-0.73299 1.9
-0.73275 1.9
-0.7325 1.8
-0.73226 1.7
-0.73201 1.7
-0.73177 1.6
-0.73153 1.5
-0.73128 1.4
-0.73104 1.4
-0.73079 1.3
-0.73055 1.2
-0.7303 1.1
-0.73006 1.0
-0.72982 1.0
-0.72957 0.9
-0.72933 0.8
-0.72908 0.7
-0.72884 0.6
-0.7286 0.5
-0.72835 0.4
-0.72811 0.3
-0.72786 0.2
-0.72762 0.1
-0.72738 0.0
-0.72713 0.0
-0.72689 -0.1
-0.72664 -0.2
-0.7264 -0.3
-0.72615 -0.4
-0.72591 -0.5
-0.72567 -0.6
-0.72542 -0.7
-0.72518 -0.8
-0.72493 -0.9
-0.72469 -1.0
-0.72445 -1.0
-0.7242 -1.1
-0.72396 -1.2
-0.72371 -1.3
-0.72347 -1.4
-0.72322 -1.5
-0.72298 -1.5
-0.72274 -1.6
-0.72249 -1.7
-0.72225 -1.7
-0.722 -1.8
-0.72176 -1.9
-0.72152 -1.9
-0.72127 -2.0
-0.72103 -2.0
-0.72078 -2.1
-0.72054 -2.1
-0.72029 -2.2
-0.72005 -2.2
-0.71981 -2.3
-0.71956 -2.3
-0.71932 -2.3
-0.71907 -2.3
-0.71883 -2.4
-0.71859 -2.4
-0.71834 -2.4
-0.7181 -2.4
-0.71785 -2.4
-0.71761 -2.4
-0.71737 -2.4
-0.71712 -2.4
-0.71688 -2.4
-0.71663 -2.4
-0.71639 -2.4
-0.71614 -2.4
-0.7159 -2.4
-0.71566 -2.3
-0.71541 -2.3
-0.71517 -2.3
-0.71492 -2.2
-0.71468 -2.2
-0.71444 -2.2
-0.71419 -2.1
-0.71395 -2.1
-0.7137 -2.0
-0.71346 -2.0
-0.71321 -1.9
-0.71297 -1.8
-0.71273 -1.8
-0.71248 -1.7
-0.71224 -1.6
-0.71199 -1.6
-0.71175 -1.5
-0.71151 -1.4
-0.71126 -1.3
-0.71102 -1.3
-0.71077 -1.2
-0.71053 -1.1
-0.71029 -1.0
-0.71004 -0.9
-0.7098 -0.8
-0.70955 -0.7
-0.70931 -0.7
-0.70906 -0.6
-0.70882 -0.5
-0.70858 -0.4
-0.70833 -0.3
-0.70809 -0.2
-0.70784 0.0
-0.7076 0.0
-0.70736 0.0
-0.70711 0.2
-0.70687 0.3
-0.70662 0.4
-0.70638 0.5
-0.70613 0.6
-0.70589 0.7
-0.70565 0.8
-0.7054 0.8
-0.70516 0.9
-0.70491 1.0
-0.70467 1.1
-0.70443 1.2
-0.70418 1.3
-0.70394 1.4
-0.70369 1.4
-0.70345 1.5
-0.70321 1.6
-0.70296 1.7
-0.70272 1.7
-0.70247 1.8
-0.70223 1.9
-0.70198 1.9
-0.70174 2.0
-0.7015 2.0
-0.70125 2.1
-0.70101 2.1
-0.70076 2.2
-0.70052 2.2
-0.70028 2.3
-0.70003 2.3
-0.69979 2.3
-0.69954 2.4
-0.6993 2.4
-0.69905 2.4
-0.69881 2.4
-0.69857 2.4
-0.69832 2.4
-0.69808 2.4
-0.69783 2.4
-0.69759 2.4
-0.69735 2.4
-0.6971 2.4
-0.69686 2.4
-0.69661 2.4
-0.69637 2.4
-0.69613 2.4
-0.69588 2.3
-0.69564 2.3
-0.69539 2.3
-0.69515 2.2
-0.6949 2.2
-0.69466 2.1
-0.69442 2.1
-0.69417 2.0
-0.69393 2.0
-0.69368 1.9
-0.69344 1.9
-0.6932 1.8
-0.69295 1.7
-0.69271 1.6
-0.69246 1.6
-0.69222 1.5
-0.69197 1.4
-0.69173 1.3
-0.69149 1.3
-0.69124 1.2
-0.691 1.1
-0.69075 1.0
-0.69051 0.9
-0.69027 0.8
-0.69002 0.7
-0.68978 0.6
-0.68953 0.5
-0.68929 0.5
-0.68904 0.4
-0.6888 0.3
-0.68856 0.2
-0.68831 0.0
-0.68807 0.0
-0.68782 -0.1
-0.68758 -0.2
-0.68734 -0.3
-0.68709 -0.4
-0.68685 -0.5
-0.6866 -0.6
-0.68636 -0.7
-0.68612 -0.8
-0.68587 -0.9
-0.68563 -1.0
-0.68538 -1.1
-0.68514 -1.2
-0.68489 -1.2
-0.68465 -1.3
-0.68441 -1.4
-0.68416 -1.5
-0.68392 -1.6
-0.68367 -1.6
-0.68343 -1.7
-0.68319 -1.8
-0.68294 -1.8
-0.6827 -1.9
-0.68245 -2.0
-0.68221 -2.0
-0.68196 -2.1
-0.68172 -2.1
-0.68148 -2.2
-0.68123 -2.2
-0.68099 -2.3
-0.68074 -2.3
-0.6805 -2.3
-0.68026 -2.4
-0.68001 -2.4
-0.67977 -2.4
-0.67952 -2.4
-0.67928 -2.4
-0.67904 -2.4
-0.67879 -2.5
-0.67855 -2.5
-0.6783 -2.5
-0.67806 -2.5
-0.67781 -2.4
-0.67757 -2.4
-0.67733 -2.4
-0.67708 -2.4
-0.67684 -2.4
-0.67659 -2.3
-0.67635 -2.3
-0.67611 -2.3
-0.67586 -2.2
-0.67562 -2.2
-0.67537 -2.2
-0.67513 -2.1
-0.67488 -2.0
-0.67464 -2.0
-0.6744 -1.9
-0.67415 -1.9
-0.67391 -1.8
-0.67366 -1.7
-0.67342 -1.7
-0.67318 -1.6
-0.67293 -1.5
-0.67269 -1.4
-0.67244 -1.4
-0.6722 -1.3
-0.67196 -1.2
-0.67171 -1.1
-0.67147 -1.0
-0.67122 -0.9
-0.67098 -0.8
-0.67073 -0.7
-0.67049 -0.6
-0.67025 -0.6
-0.67 -0.5
-0.66976 -0.4
-0.66951 -0.3
-0.66927 -0.2
-0.66903 0.0
-0.66878 0.0
-0.66854 0.1
-0.66829 0.2
-0.66805 0.3
-0.6678 0.4
-0.66756 0.5
-0.66732 0.6
-0.66707 0.7
-0.66683 0.8
-0.66658 0.9
-0.66634 1.0
-0.6661 1.1
-0.66585 1.2
-0.66561 1.3
-0.66536 1.3
-0.66512 1.4
-0.66488 1.5
-0.66463 1.6
-0.66439 1.7
-0.66414 1.7
-0.6639 1.8
-0.66365 1.9
-0.66341 1.9
-0.66317 2.0
-0.66292 2.0
-0.66268 2.1
-0.66243 2.2
-0.66219 2.2
-0.66195 2.2
-0.6617 2.3
-0.66146 2.3
-0.66121 2.4
-0.66097 2.4
-0.66072 2.4
-0.66048 2.4
-0.66024 2.4
-0.65999 2.5
-0.65975 2.5
-0.6595 2.5
-0.65926 2.5
-0.65902 2.5
-0.65877 2.5
-0.65853 2.5
-0.65828 2.4
-0.65804 2.4
-0.65779 2.4
-0.65755 2.4
-0.65731 2.3
-0.65706 2.3
-0.65682 2.3
-0.65657 2.2
-0.65633 2.2
-0.65609 2.1
-0.65584 2.1
-0.6556 2.0
-0.65535 2.0
-0.65511 1.9
-0.65487 1.8
-0.65462 1.8
-0.65438 1.7
-0.65413 1.6
-0.65389 1.6
-0.65364 1.5
-0.6534 1.4
-0.65316 1.3
-0.65291 1.2
-0.65267 1.1
-0.65242 1.0
-0.65218 1.0
-0.65194 0.9
-0.65169 0.8
-0.65145 0.7
-0.6512 0.6
-0.65096 0.5
-0.65071 0.4
-0.65047 0.3
-0.65023 0.2
-0.64998 0.0
-0.64974 0.0
-0.64949 -0.1
-0.64925 -0.2
-0.64901 -0.3
-0.64876 -0.4
-0.64852 -0.5
-0.64827 -0.6
-0.64803 -0.7
-0.64779 -0.8
-0.64754 -0.9
-0.6473 -1.0
-0.64705 -1.1
-0.64681 -1.2
-0.64656 -1.3
-0.64632 -1.3
-0.64608 -1.4
-0.64583 -1.5
-0.64559 -1.6
-0.64534 -1.7
-0.6451 -1.7
-0.64486 -1.8
-0.64461 -1.9
-0.64437 -1.9
-0.64412 -2.0
-0.64388 -2.1
-0.64363 -2.1
-0.64339 -2.2
-0.64315 -2.2
-0.6429 -2.3
-0.64266 -2.3
-0.64241 -2.3
-0.64217 -2.4
-0.64193 -2.4
-0.64168 -2.4
-0.64144 -2.4
-0.64119 -2.5
-0.64095 -2.5
-0.64071 -2.5
-0.64046 -2.5
-0.64022 -2.5
-0.63997 -2.5
-0.63973 -2.5
-0.63948 -2.5
-0.63924 -2.5
-0.639 -2.4
-0.63875 -2.4
-0.63851 -2.4
-0.63826 -2.3
-0.63802 -2.3
-0.63778 -2.3
-0.63753 -2.2
-0.63729 -2.2
-0.63704 -2.1
-0.6368 -2.1
-0.63655 -2.0
-0.63631 -2.0
-0.63607 -1.9
-0.63582 -1.8
-0.63558 -1.8
-0.63533 -1.7
-0.63509 -1.6
-0.63485 -1.5
-0.6346 -1.5
-0.63436 -1.4
-0.63411 -1.3
-0.63387 -1.2
-0.63363 -1.1
-0.63338 -1.0
-0.63314 -0.9
-0.63289 -0.8
-0.63265 -0.7
-0.6324 -0.6
-0.63216 -0.5
-0.63192 -0.4
-0.63167 -0.3
-0.63143 -0.2
-0.63118 -0.1
-0.63094 0.0
-0.6307 0.0
-0.63045 0.2
-0.63021 0.3
-0.62996 0.4
-0.62972 0.5
