t strain*1e23
-0.48318 -5.5
-0.48293 -5.5
-0.48269 -5.4
-0.48244 -5.3
-0.4822 -5.3
-0.48196 -5.2
-0.48171 -5.1
-0.48147 -5.0
-0.48122 -4.9
-0.48098 -4.8
-0.48074 -4.6
-0.48049 -4.5
-0.48025 -4.4
-0.48 -4.2
-0.47976 -4.1
-0.47952 -3.9
-0.47927 -3.7
-0.47903 -3.6
-0.47878 -3.4
-0.47854 -3.2
-0.47829 -3.0
-0.47805 -2.9
-0.47781 -2.7
-0.47756 -2.5
-0.47732 -2.3
-0.47707 -2.1
-0.47683 -1.9
-0.47659 -1.7
-0.47634 -1.4
-0.4761 -1.2
-0.47585 -1.0
-0.47561 -0.8
-0.47536 -0.6
-0.47512 -0.4
-0.47488 -0.1
-0.47463 0.0
-0.47439 0.3
-0.47414 0.5
-0.4739 0.7
-0.47366 1.0
-0.47341 1.2
-0.47317 1.4
-0.47292 1.6
-0.47268 1.8
-0.47243 2.0
-0.47219 2.2
-0.47195 2.4
-0.4717 2.6
-0.47146 2.8
-0.47121 3.0
-0.47097 3.2
-0.47073 3.4
-0.47048 3.6
-0.47024 3.7
-0.46999 3.9
-0.46975 4.1
-0.46951 4.2
-0.46926 4.4
-0.46902 4.5
-0.46877 4.6
-0.46853 4.8
-0.46828 4.9
-0.46804 5.0
-0.4678 5.1
-0.46755 5.2
-0.46731 5.3
-0.46706 5.4
-0.46682 5.5
-0.46658 5.5
-0.46633 5.6
-0.46609 5.6
-0.46584 5.7
-0.4656 5.7
-0.46535 5.7
-0.46511 5.7
-0.46487 5.7
-0.46462 5.7
-0.46438 5.7
-0.46413 5.7
-0.46389 5.7
-0.46365 5.6
-0.4634 5.6
-0.46316 5.5
-0.46291 5.5
-0.46267 5.4
-0.46243 5.3
-0.46218 5.2
-0.46194 5.2
-0.46169 5.0
-0.46145 4.9
-0.4612 4.8
-0.46096 4.7
-0.46072 4.6
-0.46047 4.4
-0.46023 4.3
-0.45998 4.1
-0.45974 4.0
-0.4595 3.8
-0.45925 3.6
-0.45901 3.4
-0.45876 3.3
-0.45852 3.1
-0.45827 2.9
-0.45803 2.7
-0.45779 2.5
-0.45754 2.3
-0.4573 2.1
-0.45705 1.9
-0.45681 1.6
-0.45657 1.4
