t strain*1e23
-57.23533 -3.9
-57.23521 -3.9
-57.23509 -3.9
-57.23497 -3.9
-57.23485 -3.9
-57.23472 -3.9
-57.2346 -3.9
-57.23448 -3.9
-57.23436 -3.8
-57.23423 -3.8
-57.23411 -3.8
-57.23399 -3.8
-57.23387 -3.8
-57.23375 -3.7
-57.23362 -3.7
-57.2335 -3.7
-57.23338 -3.6
-57.23326 -3.6
-57.23314 -3.6
-57.23301 -3.5
-57.23289 -3.5
-57.23277 -3.4
-57.23265 -3.4
-57.23253 -3.3
-57.2324 -3.3
-57.23228 -3.2
-57.23216 -3.2
-57.23204 -3.1
-57.23192 -3.1
-57.23179 -3.0
-57.23167 -3.0
-57.23155 -2.9
-57.23143 -2.8
-57.23131 -2.8
-57.23118 -2.7
-57.23106 -2.6
-57.23094 -2.6
-57.23082 -2.5
-57.23069 -2.4
-57.23057 -2.4
-57.23045 -2.3
-57.23033 -2.2
-57.23021 -2.1
-57.23008 -2.1
-57.22996 -2.0
-57.22984 -1.9
-57.22972 -1.8
-57.2296 -1.8
-57.22947 -1.7
-57.22935 -1.6
-57.22923 -1.5
-57.22911 -1.4
-57.22899 -1.3
-57.22886 -1.3
-57.22874 -1.2
-57.22862 -1.1
-57.2285 -1.0
-57.22838 -0.9
-57.22825 -0.8
-57.22813 -0.7
-57.22801 -0.6
-57.22789 -0.5
-57.22777 -0.5
-57.22764 -0.4
-57.22752 -0.3
-57.2274 -0.2
-57.22728 0.0
-57.22715 0.0
-57.22703 0.0
-57.22691 0.2
-57.22679 0.3
-57.22667 0.4
-57.22654 0.4
-57.22642 0.5
-57.2263 0.6
-57.22618 0.7
-57.22606 0.8
-57.22593 0.9
-57.22581 1.0
-57.22569 1.1
-57.22557 1.2
-57.22545 1.2
-57.22532 1.3
-57.2252 1.4
-57.22508 1.5
-57.22496 1.6
-57.22484 1.7
-57.22471 1.7
-57.22459 1.8
-57.22447 1.9
-57.22435 2.0
-57.22423 2.1
-57.2241 2.1
-57.22398 2.2
-57.22386 2.3
-57.22374 2.4
-57.22361 2.4
-57.22349 2.5
-57.22337 2.6
-57.22325 2.6
-57.22313 2.7
-57.223 2.8
-57.22288 2.8
-57.22276 2.9
-57.22264 3.0
-57.22252 3.0
-57.22239 3.1
-57.22227 3.1
-57.22215 3.2
-57.22203 3.2
-57.22191 3.3
-57.22178 3.3
-57.22166 3.4
-57.22154 3.4
-57.22142 3.5
-57.2213 3.5
-57.22117 3.5
