t strain*1e23
-5.9436 -0.5
-5.94335 -0.3
-5.94311 0.0
-5.94287 0.2
-5.94262 0.5
-5.94238 0.7
-5.94213 1.0
-5.94189 1.2
-5.94164 1.5
-5.9414 1.7
-5.94116 1.9
-5.94091 2.2
-5.94067 2.4
-5.94042 2.6
-5.94018 2.9
-5.93994 3.1
-5.93969 3.3
-5.93945 3.5
-5.9392 3.7
-5.93896 3.9
-5.93871 4.1
-5.93847 4.3
-5.93823 4.5
-5.93798 4.7
-5.93774 4.8
-5.93749 5.0
-5.93725 5.2
-5.93701 5.3
-5.93676 5.4
-5.93652 5.6
-5.93627 5.7
-5.93603 5.8
-5.93579 5.9
-5.93554 6.0
-5.9353 6.1
-5.93505 6.2
-5.93481 6.2
-5.93456 6.3
-5.93432 6.4
-5.93408 6.4
-5.93383 6.4
-5.93359 6.4
-5.93334 6.5
-5.9331 6.5
-5.93286 6.5
-5.93261 6.4
-5.93237 6.4
-5.93212 6.4
-5.93188 6.3
-5.93163 6.3
-5.93139 6.2
-5.93115 6.1
-5.9309 6.0
-5.93066 6.0
-5.93041 5.9
-5.93017 5.7
-5.92993 5.6
-5.92968 5.5
-5.92944 5.4
-5.92919 5.2
-5.92895 5.1
-5.92871 4.9
-5.92846 4.7
-5.92822 4.6
-5.92797 4.4
-5.92773 4.2
-5.92748 4.0
-5.92724 3.8
-5.927 3.6
-5.92675 3.4
-5.92651 3.2
-5.92626 3.0
-5.92602 2.7
-5.92578 2.5
-5.92553 2.3
-5.92529 2.0
-5.92504 1.8
-5.9248 1.6
-5.92455 1.3
-5.92431 1.1
-5.92407 0.8
-5.92382 0.6
-5.92358 0.3
-5.92333 0.0
-5.92309 -0.2
-5.92285 -0.4
-5.9226 -0.7
-5.92236 -0.9
-5.92211 -1.2
-5.92187 -1.4
-5.92163 -1.7
-5.92138 -1.9
-5.92114 -2.1
-5.92089 -2.4
-5.92065 -2.6
-5.9204 -2.8
-5.92016 -3.1
-5.91992 -3.3
-5.91967 -3.5
-5.91943 -3.7
-5.91918 -3.9
-5.91894 -4.1
-5.9187 -4.3
-5.91845 -4.5
-5.91821 -4.6
-5.91796 -4.8
-5.91772 -5.0
-5.91747 -5.1
-5.91723 -5.3
-5.91699 -5.4
-5.91674 -5.6
-5.9165 -5.7
-5.91625 -5.8
-5.91601 -5.9
-5.91577 -6.0
-5.91552 -6.1
-5.91528 -6.2
-5.91503 -6.2
-5.91479 -6.3
-5.91455 -6.4
-5.9143 -6.4
-5.91406 -6.4
-5.91381 -6.4
-5.91357 -6.5
-5.91332 -6.5
-5.91308 -6.5
-5.91284 -6.4
-5.91259 -6.4
-5.91235 -6.4
-5.9121 -6.3
-5.91186 -6.3
-5.91162 -6.2
-5.91137 -6.1
-5.91113 -6.1
-5.91088 -6.0
-5.91064 -5.9
-5.91039 -5.8
-5.91015 -5.6
-5.90991 -5.5
-5.90966 -5.4
-5.90942 -5.2
-5.90917 -5.1
-5.90893 -4.9
-5.90869 -4.8
-5.90844 -4.6
-5.9082 -4.4
-5.90795 -4.2
-5.90771 -4.0
-5.90746 -3.8
-5.90722 -3.6
-5.90698 -3.4
-5.90673 -3.2
-5.90649 -3.0
-5.90624 -2.8
-5.906 -2.5
-5.90576 -2.3
-5.90551 -2.1
-5.90527 -1.8
-5.90502 -1.6
-5.90478 -1.3
-5.90454 -1.1
-5.90429 -0.9
-5.90405 -0.6
-5.9038 -0.4
-5.90356 -0.1
-5.90331 0.1
-5.90307 0.4
-5.90283 0.6
-5.90258 0.9
-5.90234 1.1
-5.90209 1.4
-5.90185 1.6
-5.90161 1.9
-5.90136 2.1
-5.90112 2.3
-5.90087 2.6
-5.90063 2.8
-5.90038 3.0
-5.90014 3.2
-5.8999 3.5
-5.89965 3.7
-5.89941 3.9
-5.89916 4.1
-5.89892 4.3
-5.89868 4.5
-5.89843 4.6
-5.89819 4.8
-5.89794 5.0
-5.8977 5.1
-5.89746 5.3
-5.89721 5.4
-5.89697 5.5
-5.89672 5.7
-5.89648 5.8
-5.89623 5.9
-5.89599 6.0
-5.89575 6.1
-5.8955 6.2
-5.89526 6.2
-5.89501 6.3
-5.89477 6.4
-5.89453 6.4
-5.89428 6.4
-5.89404 6.5
-5.89379 6.5
-5.89355 6.5
-5.8933 6.5
-5.89306 6.5
-5.89282 6.4
-5.89257 6.4
-5.89233 6.3
-5.89208 6.3
-5.89184 6.2
-5.8916 6.2
-5.89135 6.1
-5.89111 6.0
-5.89086 5.9
-5.89062 5.8
-5.89038 5.7
-5.89013 5.5
-5.88989 5.4
-5.88964 5.3
-5.8894 5.1
-5.88915 4.9
-5.88891 4.8
-5.88867 4.6
-5.88842 4.4
-5.88818 4.2
-5.88793 4.1
-5.88769 3.9
-5.88745 3.6
-5.8872 3.4
-5.88696 3.2
-5.88671 3.0
-5.88647 2.8
-5.88622 2.6
-5.88598 2.3
-5.88574 2.1
-5.88549 1.8
-5.88525 1.6
-5.885 1.4
-5.88476 1.1
-5.88452 0.9
-5.88427 0.6
-5.88403 0.4
-5.88378 0.1
-5.88354 -0.1
-5.8833 -0.4
-5.88305 -0.6
-5.88281 -0.9
-5.88256 -1.1
-5.88232 -1.4
-5.88207 -1.6
-5.88183 -1.9
-5.88159 -2.1
-5.88134 -2.3
-5.8811 -2.6
-5.88085 -2.8
-5.88061 -3.0
-5.88037 -3.3
-5.88012 -3.5
-5.87988 -3.7
-5.87963 -3.9
-5.87939 -4.1
-5.87914 -4.3
-5.8789 -4.5
-5.87866 -4.6
-5.87841 -4.8
-5.87817 -5.0
-5.87792 -5.1
-5.87768 -5.3
-5.87744 -5.4
-5.87719 -5.6
-5.87695 -5.7
-5.8767 -5.8
-5.87646 -5.9
-5.87621 -6.0
-5.87597 -6.1
-5.87573 -6.2
-5.87548 -6.2
-5.87524 -6.3
-5.87499 -6.4
-5.87475 -6.4
-5.87451 -6.4
-5.87426 -6.5
-5.87402 -6.5
-5.87377 -6.5
-5.87353 -6.5
-5.87329 -6.5
-5.87304 -6.4
-5.8728 -6.4
-5.87255 -6.4
-5.87231 -6.3
-5.87206 -6.2
-5.87182 -6.2
-5.87158 -6.1
-5.87133 -6.0
-5.87109 -5.9
-5.87084 -5.8
-5.8706 -5.7
-5.87036 -5.5
-5.87011 -5.4
-5.86987 -5.3
-5.86962 -5.1
-5.86938 -4.9
-5.86913 -4.8
-5.86889 -4.6
-5.86865 -4.4
-5.8684 -4.2
-5.86816 -4.0
-5.86791 -3.8
-5.86767 -3.6
-5.86743 -3.4
-5.86718 -3.2
-5.86694 -3.0
-5.86669 -2.8
-5.86645 -2.5
-5.86621 -2.3
-5.86596 -2.1
-5.86572 -1.8
-5.86547 -1.6
-5.86523 -1.3
-5.86498 -1.1
-5.86474 -0.8
-5.8645 -0.6
-5.86425 -0.3
-5.86401 0.0
-5.86376 0.2
-5.86352 0.4
-5.86328 0.7
-5.86303 0.9
-5.86279 1.2
-5.86254 1.4
-5.8623 1.7
-5.86205 1.9
-5.86181 2.1
-5.86157 2.4
-5.86132 2.6
-5.86108 2.8
-5.86083 3.1
-5.86059 3.3
-5.86035 3.5
-5.8601 3.7
-5.85986 3.9
-5.85961 4.1
-5.85937 4.3
-5.85913 4.5
-5.85888 4.7
-5.85864 4.8
-5.85839 5.0
-5.85815 5.2
-5.8579 5.3
-5.85766 5.4
-5.85742 5.6
-5.85717 5.7
-5.85693 5.8
-5.85668 5.9
-5.85644 6.0
-5.8562 6.1
-5.85595 6.2
-5.85571 6.3
-5.85546 6.3
-5.85522 6.4
-5.85497 6.4
-5.85473 6.4
-5.85449 6.5
-5.85424 6.5
-5.854 6.5
-5.85375 6.5
-5.85351 6.5
-5.85327 6.4
-5.85302 6.4
-5.85278 6.3
-5.85253 6.3
-5.85229 6.2
-5.85205 6.2
-5.8518 6.1
-5.85156 6.0
-5.85131 5.9
-5.85107 5.8
-5.85082 5.6
-5.85058 5.5
-5.85034 5.4
-5.85009 5.2
-5.84985 5.1
-5.8496 4.9
-5.84936 4.8
-5.84912 4.6
-5.84887 4.4
-5.84863 4.2
-5.84838 4.0
-5.84814 3.8
-5.84789 3.6
-5.84765 3.4
-5.84741 3.2
-5.84716 3.0
-5.84692 2.7
-5.84667 2.5
-5.84643 2.3
-5.84619 2.0
-5.84594 1.8
-5.8457 1.5
-5.84545 1.3
-5.84521 1.0
-5.84496 0.8
-5.84472 0.5
-5.84448 0.3
-5.84423 0.0
-5.84399 -0.2
-5.84374 -0.5
-5.8435 -0.7
-5.84326 -1.0
-5.84301 -1.2
-5.84277 -1.5
-5.84252 -1.7
-5.84228 -1.9
-5.84204 -2.2
-5.84179 -2.4
-5.84155 -2.7
-5.8413 -2.9
-5.84106 -3.1
-5.84081 -3.3
-5.84057 -3.5
-5.84033 -3.7
-5.84008 -3.9
-5.83984 -4.1
-5.83959 -4.3
-5.83935 -4.5
-5.83911 -4.7
-5.83886 -4.9
-5.83862 -5.0
-5.83837 -5.2
-5.83813 -5.3
-5.83788 -5.5
-5.83764 -5.6
-5.8374 -5.7
-5.83715 -5.8
-5.83691 -5.9
-5.83666 -6.0
-5.83642 -6.1
-5.83618 -6.2
-5.83593 -6.3
-5.83569 -6.3
-5.83544 -6.4
-5.8352 -6.4
-5.83496 -6.5
-5.83471 -6.5
-5.83447 -6.5
-5.83422 -6.5
-5.83398 -6.5
-5.83373 -6.5
-5.83349 -6.4
-5.83325 -6.4
-5.833 -6.3
-5.83276 -6.3
-5.83251 -6.2
-5.83227 -6.1
-5.83203 -6.1
-5.83178 -6.0
-5.83154 -5.9
-5.83129 -5.7
-5.83105 -5.6
-5.8308 -5.5
-5.83056 -5.3
-5.83032 -5.2
-5.83007 -5.0
-5.82983 -4.9
-5.82958 -4.7
-5.82934 -4.5
-5.8291 -4.4
-5.82885 -4.2
-5.82861 -4.0
-5.82836 -3.8
-5.82812 -3.6
-5.82788 -3.3
-5.82763 -3.1
-5.82739 -2.9
-5.82714 -2.7
-5.8269 -2.4
-5.82665 -2.2
-5.82641 -2.0
-5.82617 -1.7
-5.82592 -1.5
-5.82568 -1.2
-5.82543 -1.0
-5.82519 -0.7
-5.82495 -0.5
-5.8247 -0.2
-5.82446 0.0
-5.82421 0.3
-5.82397 0.5
-5.82372 0.8
-5.82348 1.0
-5.82324 1.3
-5.82299 1.5
-5.82275 1.8
-5.8225 2.0
-5.82226 2.3
-5.82202 2.5
-5.82177 2.7
-5.82153 2.9
-5.82128 3.2
-5.82104 3.4
-5.8208 3.6
-5.82055 3.8
-5.82031 4.0
-5.82006 4.2
-5.81982 4.4
-5.81957 4.6
-5.81933 4.8
-5.81909 4.9
-5.81884 5.1
-5.8186 5.2
-5.81835 5.4
-5.81811 5.5
-5.81787 5.6
-5.81762 5.8
-5.81738 5.9
-5.81713 6.0
-5.81689 6.1
-5.81664 6.2
-5.8164 6.2
-5.81616 6.3
-5.81591 6.4
-5.81567 6.4
-5.81542 6.4
-5.81518 6.5
-5.81494 6.5
-5.81469 6.5
-5.81445 6.5
-5.8142 6.5
-5.81396 6.5
-5.81371 6.4
-5.81347 6.4
-5.81323 6.3
-5.81298 6.3
-5.81274 6.2
-5.81249 6.1
-5.81225 6.0
-5.81201 5.9
-5.81176 5.8
-5.81152 5.7
-5.81127 5.6
-5.81103 5.4
-5.81079 5.3
-5.81054 5.2
-5.8103 5.0
-5.81005 4.8
-5.80981 4.7
-5.80956 4.5
-5.80932 4.3
-5.80908 4.1
-5.80883 3.9
-5.80859 3.7
-5.80834 3.5
-5.8081 3.3
-5.80786 3.0
-5.80761 2.8
-5.80737 2.6
-5.80712 2.4
-5.80688 2.1
-5.80663 1.9
-5.80639 1.6
-5.80615 1.4
-5.8059 1.1
-5.80566 0.9
-5.80541 0.6
-5.80517 0.4
-5.80493 0.1
-5.80468 -0.1
-5.80444 -0.4
-5.80419 -0.6
-5.80395 -0.9
-5.80371 -1.1
-5.80346 -1.4
-5.80322 -1.6
-5.80297 -1.9
-5.80273 -2.1
-5.80248 -2.3
-5.80224 -2.6
-5.802 -2.8
-5.80175 -3.0
-5.80151 -3.3
-5.80126 -3.5
-5.80102 -3.7
-5.80078 -3.9
-5.80053 -4.1
-5.80029 -4.3
-5.80004 -4.5
