t strain*1e23
-0.36835 -5.5
-0.36811 -5.6
-0.36787 -5.7
-0.36762 -5.7
-0.36738 -5.8
-0.36713 -5.8
-0.36689 -5.9
-0.36665 -5.9
-0.3664 -5.9
-0.36616 -5.9
-0.36591 -5.9
-0.36567 -5.9
-0.36543 -5.9
-0.36518 -5.9
-0.36494 -5.9
-0.36469 -5.9
-0.36445 -5.9
-0.3642 -5.8
-0.36396 -5.8
-0.36372 -5.7
-0.36347 -5.7
-0.36323 -5.6
-0.36298 -5.5
-0.36274 -5.4
-0.3625 -5.4
-0.36225 -5.3
-0.36201 -5.2
-0.36176 -5.1
-0.36152 -5.0
-0.36127 -4.8
-0.36103 -4.7
-0.36079 -4.6
-0.36054 -4.5
-0.3603 -4.3
-0.36005 -4.2
-0.35981 -4.0
-0.35957 -3.9
-0.35932 -3.7
-0.35908 -3.6
-0.35883 -3.4
-0.35859 -3.2
-0.35835 -3.0
-0.3581 -2.9
-0.35786 -2.7
-0.35761 -2.5
-0.35737 -2.3
-0.35712 -2.1
-0.35688 -1.9
-0.35664 -1.7
-0.35639 -1.5
-0.35615 -1.3
-0.3559 -1.1
-0.35566 -0.9
-0.35542 -0.7
-0.35517 -0.5
-0.35493 -0.3
-0.35468 0.0
-0.35444 0.1
-0.35419 0.3
-0.35395 0.5
-0.35371 0.7
-0.35346 0.9
-0.35322 1.1
-0.35297 1.3
-0.35273 1.5
-0.35249 1.7
-0.35224 1.9
-0.352 2.1
-0.35175 2.3
-0.35151 2.5
-0.35126 2.7
-0.35102 2.9
-0.35078 3.1
-0.35053 3.3
-0.35029 3.4
-0.35004 3.6
-0.3498 3.8
-0.34956 3.9
-0.34931 4.1
-0.34907 4.2
-0.34882 4.4
-0.34858 4.5
-0.34834 4.7
-0.34809 4.8
-0.34785 4.9
-0.3476 5.0
-0.34736 5.1
-0.34711 5.2
-0.34687 5.3
-0.34663 5.4
-0.34638 5.5
-0.34614 5.6
-0.34589 5.7
-0.34565 5.7
-0.34541 5.8
-0.34516 5.9
-0.34492 5.9
-0.34467 5.9
-0.34443 6.0
-0.34418 6.0
-0.34394 6.0
-0.3437 6.0
-0.34345 6.0
-0.34321 6.0
-0.34296 6.0
-0.34272 6.0
-0.34248 6.0
-0.34223 5.9
-0.34199 5.9
-0.34174 5.8
-0.3415 5.8
-0.34126 5.7
-0.34101 5.6
-0.34077 5.6
-0.34052 5.5
-0.34028 5.4
-0.34003 5.3
-0.33979 5.2
-0.33955 5.1
-0.3393 5.0
-0.33906 4.8
-0.33881 4.7
-0.33857 4.6
-0.33833 4.4
-0.33808 4.3
-0.33784 4.1
-0.33759 4.0
-0.33735 3.8
-0.3371 3.6
-0.33686 3.5
-0.33662 3.3
-0.33637 3.1
-0.33613 2.9
-0.33588 2.7
-0.33564 2.5
-0.3354 2.3
-0.33515 2.1
-0.33491 1.9
-0.33466 1.7
-0.33442 1.5
-0.33418 1.3
-0.33393 1.1
-0.33369 0.9
-0.33344 0.7
-0.3332 0.5
-0.33295 0.3
-0.33271 0.0
-0.33247 -0.2
-0.33222 -0.4
-0.33198 -0.6
-0.33173 -0.8
-0.33149 -1.0
-0.33125 -1.2
-0.331 -1.4
-0.33076 -1.6
-0.33051 -1.9
-0.33027 -2.1
-0.33002 -2.3
-0.32978 -2.5
-0.32954 -2.7
-0.32929 -2.8
-0.32905 -3.0
-0.3288 -3.2
-0.32856 -3.4
-0.32832 -3.6
-0.32807 -3.8
-0.32783 -3.9
-0.32758 -4.1
-0.32734 -4.2
-0.3271 -4.4
-0.32685 -4.5
-0.32661 -4.7
-0.32636 -4.8
-0.32612 -5.0
-0.32587 -5.1
-0.32563 -5.2
-0.32539 -5.3
-0.32514 -5.4
-0.3249 -5.5
-0.32465 -5.6
-0.32441 -5.7
-0.32417 -5.8
-0.32392 -5.8
-0.32368 -5.9
-0.32343 -5.9
-0.32319 -6.0
-0.32294 -6.0
-0.3227 -6.1
-0.32246 -6.1
-0.32221 -6.1
-0.32197 -6.1
-0.32172 -6.1
-0.32148 -6.1
-0.32124 -6.1
-0.32099 -6.1
-0.32075 -6.0
-0.3205 -6.0
-0.32026 -6.0
-0.32001 -5.9
-0.31977 -5.8
-0.31953 -5.8
-0.31928 -5.7
-0.31904 -5.6
-0.31879 -5.5
-0.31855 -5.4
-0.31831 -5.3
-0.31806 -5.2
-0.31782 -5.1
-0.31757 -5.0
-0.31733 -4.8
-0.31709 -4.7
-0.31684 -4.5
-0.3166 -4.4
-0.31635 -4.2
-0.31611 -4.1
-0.31586 -3.9
-0.31562 -3.7
-0.31538 -3.6
-0.31513 -3.4
-0.31489 -3.2
-0.31464 -3.0
-0.3144 -2.8
-0.31416 -2.6
-0.31391 -2.4
-0.31367 -2.2
-0.31342 -2.0
-0.31318 -1.8
-0.31293 -1.6
-0.31269 -1.3
-0.31245 -1.1
-0.3122 -0.9
-0.31196 -0.7
-0.31171 -0.5
-0.31147 -0.2
-0.31123 0.0
-0.31098 0.2
-0.31074 0.4
-0.31049 0.6
-0.31025 0.9
-0.31001 1.1
-0.30976 1.3
-0.30952 1.5
-0.30927 1.7
-0.30903 2.0
-0.30878 2.2
-0.30854 2.4
-0.3083 2.6
-0.30805 2.8
-0.30781 3.0
-0.30756 3.2
-0.30732 3.4
-0.30708 3.6
-0.30683 3.7
-0.30659 3.9
-0.30634 4.1
-0.3061 4.3
-0.30585 4.4
-0.30561 4.6
-0.30537 4.7
-0.30512 4.9
-0.30488 5.0
-0.30463 5.1
-0.30439 5.3
-0.30415 5.4
-0.3039 5.5
-0.30366 5.6
-0.30341 5.7
-0.30317 5.8
-0.30293 5.8
-0.30268 5.9
-0.30244 6.0
-0.30219 6.0
-0.30195 6.1
-0.3017 6.1
-0.30146 6.2
-0.30122 6.2
-0.30097 6.2
-0.30073 6.2
-0.30048 6.2
-0.30024 6.2
-0.3 6.2
-0.29975 6.2
-0.29951 6.1
-0.29926 6.1
-0.29902 6.0
-0.29877 6.0
-0.29853 5.9
-0.29829 5.8
-0.29804 5.7
-0.2978 5.7
-0.29755 5.6
-0.29731 5.5
-0.29707 5.3
-0.29682 5.2
-0.29658 5.1
-0.29633 5.0
-0.29609 4.8
-0.29585 4.7
-0.2956 4.5
-0.29536 4.4
-0.29511 4.2
-0.29487 4.0
-0.29462 3.8
-0.29438 3.7
-0.29414 3.5
-0.29389 3.3
-0.29365 3.1
-0.2934 2.9
-0.29316 2.7
-0.29292 2.5
-0.29267 2.2
-0.29243 2.0
-0.29218 1.8
-0.29194 1.6
-0.29169 1.4
-0.29145 1.1
-0.29121 0.9
-0.29096 0.7
-0.29072 0.4
-0.29047 0.2
-0.29023 0.0
-0.28999 -0.2
-0.28974 -0.5
-0.2895 -0.7
-0.28925 -0.9
-0.28901 -1.2
-0.28876 -1.4
-0.28852 -1.6
-0.28828 -1.8
-0.28803 -2.1
-0.28779 -2.3
-0.28754 -2.5
-0.2873 -2.7
-0.28706 -2.9
-0.28681 -3.1
-0.28657 -3.3
-0.28632 -3.5
-0.28608 -3.7
-0.28584 -3.9
-0.28559 -4.1
-0.28535 -4.3
-0.2851 -4.4
-0.28486 -4.6
-0.28461 -4.7
-0.28437 -4.9
-0.28413 -5.0
-0.28388 -5.2
-0.28364 -5.3
-0.28339 -5.4
