t strain*1e23
-4.56088 1.3
-4.56064 1.4
-4.56039 1.5
-4.56015 1.5
-4.5599 1.6
-4.55966 1.7
-4.55941 1.7
-4.55917 1.8
-4.55893 1.9
-4.55868 1.9
-4.55844 2.0
-4.55819 2.0
-4.55795 2.1
-4.55771 2.1
-4.55746 2.2
-4.55722 2.2
-4.55697 2.2
-4.55673 2.3
-4.55649 2.3
-4.55624 2.3
-4.556 2.3
-4.55575 2.4
-4.55551 2.4
-4.55526 2.4
-4.55502 2.4
-4.55478 2.4
-4.55453 2.4
-4.55429 2.4
-4.55404 2.4
-4.5538 2.4
-4.55356 2.4
-4.55331 2.3
-4.55307 2.3
-4.55282 2.3
-4.55258 2.3
-4.55233 2.2
-4.55209 2.2
-4.55185 2.2
-4.5516 2.1
-4.55136 2.1
-4.55111 2.0
-4.55087 2.0
-4.55063 1.9
-4.55038 1.9
-4.55014 1.8
-4.54989 1.8
-4.54965 1.7
-4.54941 1.6
-4.54916 1.6
-4.54892 1.5
-4.54867 1.4
-4.54843 1.3
-4.54818 1.3
-4.54794 1.2
-4.5477 1.1
-4.54745 1.0
-4.54721 0.9
-4.54696 0.8
-4.54672 0.8
-4.54648 0.7
-4.54623 0.6
-4.54599 0.5
-4.54574 0.4
-4.5455 0.3
-4.54525 0.2
-4.54501 0.1
-4.54477 0.0
-4.54452 0.0
-4.54428 -0.2
-4.54403 -0.2
-4.54379 -0.3
-4.54355 -0.4
-4.5433 -0.5
-4.54306 -0.6
-4.54281 -0.7
-4.54257 -0.8
-4.54233 -0.9
-4.54208 -1.0
-4.54184 -1.0
-4.54159 -1.1
-4.54135 -1.2
-4.5411 -1.3
-4.54086 -1.4
-4.54062 -1.4
-4.54037 -1.5
-4.54013 -1.6
-4.53988 -1.6
-4.53964 -1.7
-4.5394 -1.8
-4.53915 -1.8
-4.53891 -1.9
-4.53866 -2.0
-4.53842 -2.0
-4.53817 -2.1
-4.53793 -2.1
-4.53769 -2.1
-4.53744 -2.2
-4.5372 -2.2
-4.53695 -2.3
-4.53671 -2.3
-4.53647 -2.3
-4.53622 -2.3
