t strain*1e23
-0.52132 -1.2
-0.52108 -1.4
-0.52083 -1.5
-0.52059 -1.7
-0.52034 -1.8
-0.5201 -1.9
-0.51986 -2.1
-0.51961 -2.2
-0.51937 -2.4
-0.51912 -2.5
-0.51888 -2.6
-0.51863 -2.7
-0.51839 -2.9
-0.51815 -3.0
-0.5179 -3.1
-0.51766 -3.2
-0.51741 -3.3
-0.51717 -3.4
-0.51693 -3.5
-0.51668 -3.6
-0.51644 -3.7
-0.51619 -3.8
-0.51595 -3.9
-0.51571 -4.0
-0.51546 -4.0
-0.51522 -4.1
-0.51497 -4.2
-0.51473 -4.2
-0.51448 -4.3
-0.51424 -4.3
-0.514 -4.4
-0.51375 -4.4
-0.51351 -4.5
-0.51326 -4.5
-0.51302 -4.5
-0.51278 -4.5
-0.51253 -4.5
-0.51229 -4.5
-0.51204 -4.5
-0.5118 -4.5
-0.51155 -4.5
-0.51131 -4.5
-0.51107 -4.5
-0.51082 -4.5
-0.51058 -4.4
-0.51033 -4.4
-0.51009 -4.3
-0.50985 -4.3
-0.5096 -4.2
-0.50936 -4.2
-0.50911 -4.1
-0.50887 -4.0
-0.50863 -4.0
-0.50838 -3.9
-0.50814 -3.8
-0.50789 -3.7
-0.50765 -3.6
-0.5074 -3.5
-0.50716 -3.4
-0.50692 -3.3
-0.50667 -3.2
-0.50643 -3.1
-0.50618 -3.0
-0.50594 -2.9
-0.5057 -2.7
-0.50545 -2.6
-0.50521 -2.5
-0.50496 -2.3
-0.50472 -2.2
-0.50447 -2.0
-0.50423 -1.9
-0.50399 -1.8
-0.50374 -1.6
-0.5035 -1.5
-0.50325 -1.3
-0.50301 -1.2
-0.50277 -1.0
-0.50252 -0.8
-0.50228 -0.7
-0.50203 -0.5
-0.50179 -0.4
-0.50154 -0.2
-0.5013 0.0
-0.50106 0.1
-0.50081 0.3
-0.50057 0.4
-0.50032 0.6
-0.50008 0.8
-0.49984 0.9
-0.49959 1.1
-0.49935 1.2
-0.4991 1.4
-0.49886 1.5
-0.49862 1.7
-0.49837 1.8
-0.49813 2.0
-0.49788 2.1
-0.49764 2.3
-0.49739 2.4
-0.49715 2.5
-0.49691 2.7
-0.49666 2.8
-0.49642 2.9
-0.49617 3.1
-0.49593 3.2
-0.49569 3.3
-0.49544 3.4
-0.4952 3.5
-0.49495 3.6
-0.49471 3.7
-0.49446 3.8
-0.49422 3.9
-0.49398 4.0
-0.49373 4.0
-0.49349 4.1
-0.49324 4.2
-0.493 4.3
-0.49276 4.3
-0.49251 4.4
-0.49227 4.4
-0.49202 4.5
-0.49178 4.5
-0.49154 4.5
-0.49129 4.5
-0.49105 4.6
-0.4908 4.6
-0.49056 4.6
-0.49031 4.6
-0.49007 4.6
-0.48983 4.6
-0.48958 4.6
-0.48934 4.5
-0.48909 4.5
-0.48885 4.5
-0.48861 4.4
-0.48836 4.4
-0.48812 4.3
-0.48787 4.3
-0.48763 4.2
-0.48738 4.2
-0.48714 4.1
-0.4869 4.0
-0.48665 3.9
-0.48641 3.9
-0.48616 3.8
-0.48592 3.7
-0.48568 3.6
-0.48543 3.5
-0.48519 3.4
-0.48494 3.2
-0.4847 3.1
-0.48446 3.0
-0.48421 2.9
-0.48397 2.8
-0.48372 2.6
-0.48348 2.5
-0.48323 2.3
-0.48299 2.2
-0.48275 2.1
-0.4825 1.9
-0.48226 1.8
-0.48201 1.6
-0.48177 1.5
-0.48153 1.3
-0.48128 1.1
-0.48104 1.0
-0.48079 0.8
-0.48055 0.7
-0.4803 0.5
-0.48006 0.3
-0.47982 0.2
-0.47957 0.0
-0.47933 -0.2
-0.47908 -0.3
-0.47884 -0.5
-0.4786 -0.7
-0.47835 -0.8
-0.47811 -1.0
-0.47786 -1.1
-0.47762 -1.3
-0.47738 -1.5
-0.47713 -1.6
-0.47689 -1.8
-0.47664 -1.9
-0.4764 -2.1
-0.47615 -2.2
-0.47591 -2.4
-0.47567 -2.5
-0.47542 -2.6
-0.47518 -2.8
-0.47493 -2.9
-0.47469 -3.0
-0.47445 -3.2
-0.4742 -3.3
-0.47396 -3.4
-0.47371 -3.5
-0.47347 -3.6
