t strain*1e23
-0.10503 -11.7
-0.10478 -12.4
-0.10454 -13.1
-0.10429 -13.7
-0.10405 -14.4
-0.10381 -15.0
-0.10356 -15.7
-0.10332 -16.3
-0.10307 -16.9
-0.10283 -17.5
-0.10258 -18.1
-0.10234 -18.6
-0.1021 -19.2
-0.10185 -19.7
-0.10161 -20.2
-0.10136 -20.7
-0.10112 -21.1
-0.10088 -21.6
-0.10063 -22.0
-0.10039 -22.4
-0.10014 -22.8
-0.0999 -23.2
-0.09966 -23.5
-0.09941 -23.9
-0.09917 -24.2
-0.09892 -24.4
-0.09868 -24.7
-0.09843 -24.9
-0.09819 -25.1
-0.09795 -25.3
-0.0977 -25.5
-0.09746 -25.6
-0.09721 -25.7
-0.09697 -25.8
-0.09673 -25.8
-0.09648 -25.9
-0.09624 -25.9
-0.09599 -25.8
-0.09575 -25.8
-0.0955 -25.7
-0.09526 -25.6
-0.09502 -25.5
-0.09477 -25.3
-0.09453 -25.2
-0.09428 -25.0
-0.09404 -24.7
-0.0938 -24.5
-0.09355 -24.2
-0.09331 -23.9
-0.09306 -23.5
-0.09282 -23.2
-0.09258 -22.8
-0.09233 -22.4
-0.09209 -22.0
-0.09184 -21.5
-0.0916 -21.0
-0.09135 -20.5
-0.09111 -20.0
-0.09087 -19.5
-0.09062 -18.9
-0.09038 -18.3
-0.09013 -17.7
-0.08989 -17.1
-0.08965 -16.4
-0.0894 -15.8
-0.08916 -15.1
-0.08891 -14.4
-0.08867 -13.7
-0.08842 -12.9
-0.08818 -12.2
-0.08794 -11.4
-0.08769 -10.6
-0.08745 -9.9
-0.0872 -9.1
-0.08696 -8.2
-0.08672 -7.4
-0.08647 -6.6
-0.08623 -5.7
-0.08598 -4.9
-0.08574 -4.0
-0.08549 -3.1
-0.08525 -2.3
-0.08501 -1.4
-0.08476 -0.5
-0.08452 0.4
-0.08427 1.3
-0.08403 2.1
-0.08379 3.0
-0.08354 3.9
-0.0833 4.8
-0.08305 5.7
-0.08281 6.6
-0.08257 7.4
-0.08232 8.3
-0.08208 9.2
-0.08183 10.0
-0.08159 10.8
-0.08134 11.7
-0.0811 12.5
-0.08086 13.3
-0.08061 14.1
-0.08037 14.9
-0.08012 15.6
-0.07988 16.4
-0.07964 17.1
-0.07939 17.8
-0.07915 18.5
-0.0789 19.2
-0.07866 19.9
-0.07841 20.5
-0.07817 21.1
-0.07793 21.7
-0.07768 22.3
-0.07744 22.8
-0.07719 23.3
-0.07695 23.8
-0.07671 24.3
-0.07646 24.7
-0.07622 25.1
-0.07597 25.5
-0.07573 25.8
-0.07549 26.2
-0.07524 26.5
-0.075 26.7
-0.07475 26.9
-0.07451 27.1
-0.07426 27.3
-0.07402 27.4
-0.07378 27.5
-0.07353 27.6
-0.07329 27.6
-0.07304 27.6
-0.0728 27.6
-0.07256 27.5
-0.07231 27.4
-0.07207 27.3
-0.07182 27.1
-0.07158 26.9
-0.07133 26.6
-0.07109 26.4
-0.07085 26.1
-0.0706 25.7
-0.07036 25.3
-0.07011 24.9
-0.06987 24.5
-0.06963 24.0
-0.06938 23.5
-0.06914 23.0
-0.06889 22.4
-0.06865 21.8
-0.06841 21.2
-0.06816 20.5
-0.06792 19.8
-0.06767 19.1
-0.06743 18.4
-0.06718 17.6
-0.06694 16.8
-0.0667 16.0
-0.06645 15.2
-0.06621 14.3
-0.06596 13.4
-0.06572 12.5
-0.06548 11.6
-0.06523 10.7
-0.06499 9.7
-0.06474 8.7
-0.0645 7.7
-0.06425 6.7
-0.06401 5.7
-0.06377 4.7
-0.06352 3.7
-0.06328 2.6
-0.06303 1.6
-0.06279 0.5
-0.06255 -0.5
-0.0623 -1.6
-0.06206 -2.7
-0.06181 -3.7
-0.06157 -4.8
-0.06133 -5.9
-0.06108 -6.9
-0.06084 -8.0
-0.06059 -9.0
-0.06035 -10.1
-0.0601 -11.1
-0.05986 -12.1
-0.05962 -13.1
-0.05937 -14.1
-0.05913 -15.0
-0.05888 -16.0
-0.05864 -16.9
-0.0584 -17.8
-0.05815 -18.7
-0.05791 -19.6
-0.05766 -20.4
-0.05742 -21.2
-0.05717 -22.0
-0.05693 -22.7
-0.05669 -23.4
-0.05644 -24.1
-0.0562 -24.8
-0.05595 -25.4
-0.05571 -26.0
-0.05547 -26.5
-0.05522 -27.1
-0.05498 -27.5
-0.05473 -28.0
-0.05449 -28.3
-0.05424 -28.7
-0.054 -29.0
-0.05376 -29.3
-0.05351 -29.5
-0.05327 -29.7
-0.05302 -29.8
-0.05278 -29.9
-0.05254 -29.9
-0.05229 -29.9
-0.05205 -29.9
-0.0518 -29.8
-0.05156 -29.6
-0.05132 -29.4
-0.05107 -29.2
-0.05083 -28.9
-0.05058 -28.5
-0.05034 -28.1
-0.05009 -27.7
-0.04985 -27.2
-0.04961 -26.7
-0.04936 -26.1
-0.04912 -25.5
-0.04887 -24.9
-0.04863 -24.2
-0.04839 -23.4
-0.04814 -22.6
-0.0479 -21.8
-0.04765 -20.9
-0.04741 -20.0
-0.04716 -19.1
-0.04692 -18.1
-0.04668 -17.1
-0.04643 -16.0
-0.04619 -14.9
-0.04594 -13.8
-0.0457 -12.7
-0.04546 -11.5
-0.04521 -10.3
-0.04497 -9.1
-0.04472 -7.8
-0.04448 -6.6
-0.04424 -5.3
-0.04399 -4.0
-0.04375 -2.7
-0.0435 -1.4
-0.04326 0.0
-0.04301 1.3
-0.04277 2.6
-0.04253 3.9
-0.04228 5.3
-0.04204 6.6
-0.04179 7.9
-0.04155 9.2
-0.04131 10.5
-0.04106 11.8
-0.04082 13.1
-0.04057 14.4
-0.04033 15.6
-0.04008 16.8
-0.03984 18.0
-0.0396 19.2
-0.03935 20.3
-0.03911 21.4
-0.03886 22.5
-0.03862 23.5
-0.03838 24.5
-0.03813 25.4
-0.03789 26.3
-0.03764 27.2
-0.0374 28.0
-0.03716 28.7
-0.03691 29.4
-0.03667 30.0
-0.03642 30.6
-0.03618 31.1
