t strain*1e23
-0.44076 2.9
-0.44052 3.1
-0.44027 3.3
-0.44003 3.6
-0.43979 3.8
-0.43954 4.0
-0.4393 4.3
-0.43905 4.5
-0.43881 4.7
-0.43856 4.9
-0.43832 5.1
-0.43808 5.3
-0.43783 5.5
-0.43759 5.7
-0.43734 5.8
-0.4371 6.0
-0.43686 6.2
-0.43661 6.3
-0.43637 6.5
-0.43612 6.6
-0.43588 6.7
-0.43563 6.9
-0.43539 7.0
-0.43515 7.1
-0.4349 7.2
-0.43466 7.3
-0.43441 7.4
-0.43417 7.4
-0.43393 7.5
-0.43368 7.6
-0.43344 7.6
-0.43319 7.7
-0.43295 7.7
-0.4327 7.7
-0.43246 7.7
-0.43222 7.7
-0.43197 7.7
-0.43173 7.7
-0.43148 7.7
-0.43124 7.7
-0.431 7.6
-0.43075 7.6
-0.43051 7.5
-0.43026 7.4
-0.43002 7.4
-0.42978 7.3
-0.42953 7.2
-0.42929 7.1
-0.42904 7.0
-0.4288 6.9
-0.42855 6.7
-0.42831 6.6
-0.42807 6.5
-0.42782 6.3
-0.42758 6.2
-0.42733 6.0
-0.42709 5.8
-0.42685 5.6
-0.4266 5.5
-0.42636 5.3
-0.42611 5.1
-0.42587 4.9
-0.42562 4.7
-0.42538 4.4
-0.42514 4.2
-0.42489 4.0
-0.42465 3.8
-0.4244 3.5
-0.42416 3.3
-0.42392 3.0
-0.42367 2.8
-0.42343 2.5
-0.42318 2.3
-0.42294 2.0
-0.4227 1.8
-0.42245 1.5
-0.42221 1.2
-0.42196 1.0
-0.42172 0.7
-0.42147 0.4
-0.42123 0.2
-0.42099 0.0
-0.42074 -0.4
-0.4205 -0.6
-0.42025 -0.9
-0.42001 -1.2
-0.41977 -1.4
-0.41952 -1.7
-0.41928 -1.9
-0.41903 -2.2
-0.41879 -2.5
-0.41854 -2.7
-0.4183 -3.0
-0.41806 -3.2
-0.41781 -3.5
-0.41757 -3.7
-0.41732 -3.9
-0.41708 -4.2
-0.41684 -4.4
-0.41659 -4.6
-0.41635 -4.8
-0.4161 -5.0
-0.41586 -5.2
-0.41562 -5.4
-0.41537 -5.6
-0.41513 -5.8
-0.41488 -6.0
-0.41464 -6.2
