t strain*1e23
-0.48 -6.3
-0.47976 -6.3
-0.47952 -6.2
-0.47927 -6.1
-0.47903 -6.0
-0.47878 -5.9
-0.47854 -5.8
-0.47829 -5.7
-0.47805 -5.6
-0.47781 -5.4
-0.47756 -5.3
-0.47732 -5.1
-0.47707 -5.0
-0.47683 -4.8
-0.47659 -4.7
-0.47634 -4.5
-0.4761 -4.3
-0.47585 -4.1
-0.47561 -3.9
-0.47536 -3.7
-0.47512 -3.5
-0.47488 -3.3
-0.47463 -3.0
-0.47439 -2.8
-0.47414 -2.6
-0.4739 -2.4
-0.47366 -2.1
-0.47341 -1.9
-0.47317 -1.6
-0.47292 -1.4
-0.47268 -1.1
-0.47243 -0.9
-0.47219 -0.6
-0.47195 -0.4
-0.4717 -0.1
-0.47146 0.1
-0.47121 0.4
-0.47097 0.6
-0.47073 0.9
-0.47048 1.1
-0.47024 1.4
-0.46999 1.6
-0.46975 1.9
-0.46951 2.1
-0.46926 2.3
-0.46902 2.6
-0.46877 2.8
-0.46853 3.0
-0.46828 3.3
-0.46804 3.5
-0.4678 3.7
-0.46755 3.9
-0.46731 4.1
-0.46706 4.3
-0.46682 4.5
-0.46658 4.7
-0.46633 4.8
-0.46609 5.0
-0.46584 5.2
-0.4656 5.3
-0.46535 5.5
-0.46511 5.6
-0.46487 5.7
-0.46462 5.9
-0.46438 6.0
-0.46413 6.1
-0.46389 6.2
-0.46365 6.2
-0.4634 6.3
-0.46316 6.4
-0.46291 6.4
-0.46267 6.5
-0.46243 6.5
-0.46218 6.6
-0.46194 6.6
-0.46169 6.6
-0.46145 6.6
-0.4612 6.6
-0.46096 6.5
-0.46072 6.5
-0.46047 6.5
-0.46023 6.4
-0.45998 6.3
-0.45974 6.3
-0.4595 6.2
-0.45925 6.1
-0.45901 6.0
-0.45876 5.9
-0.45852 5.8
-0.45827 5.6
-0.45803 5.5
-0.45779 5.4
-0.45754 5.2
-0.4573 5.1
-0.45705 4.9
-0.45681 4.7
-0.45657 4.5
-0.45632 4.3
-0.45608 4.1
-0.45583 3.9
-0.45559 3.7
-0.45535 3.5
-0.4551 3.3
-0.45486 3.1
-0.45461 2.8
-0.45437 2.6
-0.45412 2.4
-0.45388 2.1
-0.45364 1.9
-0.45339 1.6
-0.45315 1.4
-0.4529 1.1
-0.45266 0.9
-0.45242 0.6
-0.45217 0.4
-0.45193 0.0
-0.45168 -0.2
-0.45144 -0.4
-0.45119 -0.7
-0.45095 -0.9
-0.45071 -1.2
-0.45046 -1.4
-0.45022 -1.7
-0.44997 -1.9
-0.44973 -2.2
-0.44949 -2.4
-0.44924 -2.7
-0.449 -2.9
-0.44875 -3.1
-0.44851 -3.4
-0.44827 -3.6
-0.44802 -3.8
-0.44778 -4.0
-0.44753 -4.2
-0.44729 -4.4
-0.44704 -4.6
-0.4468 -4.8
-0.44656 -5.0
-0.44631 -5.1
-0.44607 -5.3
-0.44582 -5.5
-0.44558 -5.6
-0.44534 -5.7
