t strain*1e23
-13.28378 -1.2
-13.28354 -1.2
-13.2833 -1.2
-13.28305 -1.1
-13.28281 -1.1
-13.28256 -1.1
-13.28232 -1.1
-13.28208 -1.1
-13.28183 -1.0
-13.28159 -1.0
-13.28134 -1.0
-13.2811 -1.0
-13.28086 -0.9
-13.28061 -0.9
-13.28037 -0.9
-13.28012 -0.8
-13.27988 -0.8
-13.27963 -0.8
-13.27939 -0.7
-13.27915 -0.7
-13.2789 -0.6
-13.27866 -0.6
-13.27841 -0.6
-13.27817 -0.5
-13.27793 -0.5
-13.27768 -0.4
-13.27744 -0.4
-13.27719 -0.3
-13.27695 -0.3
-13.2767 -0.3
-13.27646 -0.2
-13.27622 -0.2
-13.27597 -0.1
-13.27573 0.0
-13.27548 0.0
-13.27524 0.0
-13.275 0.0
-13.27475 0.1
-13.27451 0.2
-13.27426 0.2
-13.27402 0.3
-13.27378 0.3
-13.27353 0.3
-13.27329 0.4
-13.27304 0.4
-13.2728 0.5
-13.27255 0.5
-13.27231 0.6
-13.27207 0.6
-13.27182 0.6
-13.27158 0.7
-13.27133 0.7
-13.27109 0.8
-13.27085 0.8
-13.2706 0.8
-13.27036 0.9
-13.27011 0.9
-13.26987 0.9
-13.26962 1.0
-13.26938 1.0
-13.26914 1.0
-13.26889 1.0
-13.26865 1.1
-13.2684 1.1
-13.26816 1.1
-13.26792 1.1
-13.26767 1.1
-13.26743 1.2
-13.26718 1.2
-13.26694 1.2
-13.2667 1.2
-13.26645 1.2
-13.26621 1.2
-13.26596 1.2
-13.26572 1.2
-13.26547 1.2
-13.26523 1.2
-13.26499 1.2
-13.26474 1.2
-13.2645 1.2
-13.26425 1.2
-13.26401 1.2
-13.26377 1.2
-13.26352 1.2
-13.26328 1.1
-13.26303 1.1
-13.26279 1.1
-13.26254 1.1
-13.2623 1.1
-13.26206 1.1
-13.26181 1.0
-13.26157 1.0
-13.26132 1.0
-13.26108 0.9
-13.26084 0.9
-13.26059 0.9
-13.26035 0.8
-13.2601 0.8
-13.25986 0.8
-13.25961 0.7
-13.25937 0.7
-13.25913 0.7
-13.25888 0.6
-13.25864 0.6
-13.25839 0.5
-13.25815 0.5
-13.25791 0.5
-13.25766 0.4
-13.25742 0.4
-13.25717 0.3
-13.25693 0.3
-13.25669 0.2
-13.25644 0.2
-13.2562 0.1
-13.25595 0.0
-13.25571 0.0
-13.25546 0.0
-13.25522 0.0
-13.25498 -0.1
-13.25473 -0.1
-13.25449 -0.2
-13.25424 -0.2
-13.254 -0.3
-13.25376 -0.3
-13.25351 -0.4
-13.25327 -0.4
-13.25302 -0.5
-13.25278 -0.5
-13.25253 -0.6
-13.25229 -0.6
-13.25205 -0.6
-13.2518 -0.7
-13.25156 -0.7
-13.25131 -0.8
-13.25107 -0.8
-13.25083 -0.8
-13.25058 -0.9
-13.25034 -0.9
-13.25009 -0.9
-13.24985 -1.0
-13.24961 -1.0
-13.24936 -1.0
-13.24912 -1.0
-13.24887 -1.1
-13.24863 -1.1
-13.24838 -1.1
-13.24814 -1.1
-13.2479 -1.1
-13.24765 -1.2
-13.24741 -1.2
-13.24716 -1.2
-13.24692 -1.2
-13.24668 -1.2
-13.24643 -1.2
-13.24619 -1.2
-13.24594 -1.2
-13.2457 -1.2
-13.24545 -1.2
-13.24521 -1.2
-13.24497 -1.2
-13.24472 -1.2
-13.24448 -1.2
-13.24423 -1.2
-13.24399 -1.2
-13.24375 -1.2
-13.2435 -1.2
-13.24326 -1.1
-13.24301 -1.1
-13.24277 -1.1
-13.24253 -1.1
-13.24228 -1.1
-13.24204 -1.0
-13.24179 -1.0
-13.24155 -1.0
-13.2413 -1.0
-13.24106 -0.9
-13.24082 -0.9
-13.24057 -0.9
-13.24033 -0.8
-13.24008 -0.8
-13.23984 -0.8
-13.2396 -0.7
-13.23935 -0.7
-13.23911 -0.6
-13.23886 -0.6
-13.23862 -0.6
-13.23837 -0.5
-13.23813 -0.5
-13.23789 -0.4
-13.23764 -0.4
-13.2374 -0.3
-13.23715 -0.3
-13.23691 -0.2
-13.23667 -0.2
-13.23642 -0.1
-13.23618 -0.1
-13.23593 0.0
-13.23569 0.0
-13.23545 0.0
-13.2352 0.0
-13.23496 0.1
-13.23471 0.2
-13.23447 0.2
-13.23422 0.3
-13.23398 0.3
-13.23374 0.4
-13.23349 0.4
-13.23325 0.5
-13.233 0.5
-13.23276 0.5
-13.23252 0.6
-13.23227 0.6
-13.23203 0.7
-13.23178 0.7
-13.23154 0.7
-13.23129 0.8
-13.23105 0.8
-13.23081 0.8
-13.23056 0.9
-13.23032 0.9
-13.23007 0.9
-13.22983 1.0
-13.22959 1.0
-13.22934 1.0
-13.2291 1.1
-13.22885 1.1
-13.22861 1.1
-13.22836 1.1
-13.22812 1.1
-13.22788 1.2
-13.22763 1.2
-13.22739 1.2
-13.22714 1.2
-13.2269 1.2
-13.22666 1.2
-13.22641 1.2
-13.22617 1.2
-13.22592 1.2
-13.22568 1.2
-13.22544 1.2
-13.22519 1.2
-13.22495 1.2
-13.2247 1.2
-13.22446 1.2
-13.22421 1.2
-13.22397 1.2
-13.22373 1.2
-13.22348 1.1
-13.22324 1.1
-13.22299 1.1
-13.22275 1.1
-13.22251 1.1
-13.22226 1.0
-13.22202 1.0
-13.22177 1.0
-13.22153 1.0
-13.22128 0.9
-13.22104 0.9
-13.2208 0.9
-13.22055 0.8
-13.22031 0.8
-13.22006 0.8
-13.21982 0.7
-13.21958 0.7
-13.21933 0.6
-13.21909 0.6
