t strain*1e23
-0.35983 -1.8
-0.35958 -1.9
-0.35934 -2.0
-0.35909 -2.0
-0.35885 -2.1
-0.3586 -2.2
-0.35836 -2.3
-0.35812 -2.4
-0.35787 -2.5
-0.35763 -2.6
-0.35738 -2.7
-0.35714 -2.7
-0.3569 -2.8
-0.35665 -2.9
-0.35641 -3.0
-0.35616 -3.0
-0.35592 -3.1
-0.35567 -3.1
-0.35543 -3.2
-0.35519 -3.2
-0.35494 -3.3
-0.3547 -3.3
-0.35445 -3.4
-0.35421 -3.4
-0.35397 -3.5
-0.35372 -3.5
-0.35348 -3.5
-0.35323 -3.6
-0.35299 -3.6
-0.35275 -3.6
-0.3525 -3.6
-0.35226 -3.6
-0.35201 -3.6
-0.35177 -3.6
-0.35152 -3.6
-0.35128 -3.6
-0.35104 -3.6
-0.35079 -3.6
-0.35055 -3.6
-0.3503 -3.6
-0.35006 -3.6
-0.34982 -3.5
-0.34957 -3.5
-0.34933 -3.5
-0.34908 -3.4
-0.34884 -3.4
-0.34859 -3.4
-0.34835 -3.3
-0.34811 -3.3
-0.34786 -3.2
-0.34762 -3.1
-0.34737 -3.1
-0.34713 -3.0
-0.34689 -3.0
-0.34664 -2.9
-0.3464 -2.8
-0.34615 -2.7
-0.34591 -2.7
-0.34566 -2.6
-0.34542 -2.5
-0.34518 -2.4
-0.34493 -2.3
-0.34469 -2.2
-0.34444 -2.1
-0.3442 -2.0
-0.34396 -1.9
-0.34371 -1.8
-0.34347 -1.7
-0.34322 -1.6
-0.34298 -1.5
-0.34274 -1.4
-0.34249 -1.3
-0.34225 -1.2
-0.342 -1.1
-0.34176 -1.0
-0.34151 -0.9
-0.34127 -0.7
-0.34103 -0.6
-0.34078 -0.5
-0.34054 -0.4
-0.34029 -0.3
-0.34005 -0.2
-0.33981 0.0
-0.33956 0.0
-0.33932 0.2
-0.33907 0.3
-0.33883 0.4
-0.33858 0.5
-0.33834 0.7
-0.3381 0.8
-0.33785 0.9
-0.33761 1.0
-0.33736 1.1
-0.33712 1.2
-0.33688 1.3
-0.33663 1.5
-0.33639 1.6
-0.33614 1.7
-0.3359 1.8
-0.33566 1.9
-0.33541 2.0
-0.33517 2.1
-0.33492 2.2
-0.33468 2.3
-0.33443 2.4
-0.33419 2.5
-0.33395 2.5
-0.3337 2.6
-0.33346 2.7
-0.33321 2.8
-0.33297 2.9
-0.33273 2.9
-0.33248 3.0
-0.33224 3.1
-0.33199 3.1
-0.33175 3.2
-0.3315 3.3
-0.33126 3.3
-0.33102 3.4
-0.33077 3.4
-0.33053 3.5
-0.33028 3.5
-0.33004 3.5
-0.3298 3.6
-0.32955 3.6
-0.32931 3.6
-0.32906 3.6
-0.32882 3.7
-0.32858 3.7
-0.32833 3.7
-0.32809 3.7
-0.32784 3.7
-0.3276 3.7
-0.32735 3.7
-0.32711 3.7
-0.32687 3.7
-0.32662 3.6
-0.32638 3.6
-0.32613 3.6
-0.32589 3.6
-0.32565 3.5
-0.3254 3.5
-0.32516 3.4
-0.32491 3.4
-0.32467 3.4
-0.32442 3.3
-0.32418 3.2
-0.32394 3.2
-0.32369 3.1
-0.32345 3.1
-0.3232 3.0
-0.32296 2.9
-0.32272 2.8
-0.32247 2.8
-0.32223 2.7
-0.32198 2.6
-0.32174 2.5
-0.3215 2.4
-0.32125 2.3
-0.32101 2.2
-0.32076 2.1
-0.32052 2.0
-0.32027 1.9
-0.32003 1.8
-0.31979 1.7
-0.31954 1.6
-0.3193 1.5
-0.31905 1.4
-0.31881 1.3
-0.31857 1.2
-0.31832 1.0
-0.31808 0.9
-0.31783 0.8
-0.31759 0.7
-0.31734 0.6
-0.3171 0.4
-0.31686 0.3
-0.31661 0.2
-0.31637 0.0
-0.31612 0.0
-0.31588 -0.2
-0.31564 -0.3
-0.31539 -0.4
-0.31515 -0.5
-0.3149 -0.7
-0.31466 -0.8
-0.31441 -0.9
-0.31417 -1.0
-0.31393 -1.1
-0.31368 -1.3
-0.31344 -1.4
-0.31319 -1.5
-0.31295 -1.6
-0.31271 -1.7
-0.31246 -1.8
-0.31222 -1.9
-0.31197 -2.0
-0.31173 -2.1
